|dates|Jefferson_Alabama_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Alabama_UnitedStates.NYT_ConfirmedCases.data|Jefferson_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Jefferson_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|114056.0|0|114056.0|0|1910.0|0|0.0|100
0|2021-10-18|114113.0|0|114113.0|0|1910.0|0|0.0|100
0|2021-10-19|114391.0|0|114391.0|0|1913.0|0|0.0|100
0|2021-10-20|114462.0|0|114462.0|0|1915.0|0|0.0|100
0|2021-10-21|114550.0|0|114550.0|0|1922.0|0|0.0|100
0|2021-10-22|114709.0|0|114709.0|0|1924.0|0|0.0|100
0|2021-10-23|114790.0|0|114790.0|0|1924.0|0|0.0|100
0|2021-10-24|114836.0|0|114836.0|0|1924.0|0|0.0|100
0|2021-10-25|114873.0|0|114873.0|0|1924.0|0|0.0|100
0|2021-10-26|114905.0|0|114905.0|0|1930.0|0|0.0|100
0|2021-10-27|115483.0|0|115483.0|0|1937.0|0|0.0|100
0|2021-10-28|115591.0|0|115591.0|0|1952.0|0|0.0|100
0|2021-10-29|115555.0|0|115555.0|0|1953.0|0|0.0|100
0|2021-10-30|115560.0|0|115560.0|0|1953.0|0|0.0|100
0|2021-10-31|115597.0|0|115597.0|0|1953.0|0|0.0|100
0|2021-11-01|115628.0|0|115628.0|0|1953.0|0|0.0|100
0|2021-11-02|115638.0|0|115638.0|0|1966.0|0|0.0|100
0|2021-11-03|115645.0|0|115645.0|0|1969.0|0|0.0|100
0|2021-11-04|115643.0|0|115643.0|0|1973.0|0|0.0|100
0|2021-11-05|115649.0|0|115649.0|0|1970.0|0|0.0|100
0|2021-11-06|115693.0|0|115693.0|0|1978.0|0|0.0|100
0|2021-11-07|115726.0|0|115726.0|0|1978.0|0|0.0|100
0|2021-11-08|115760.0|0|115760.0|0|1978.0|0|0.0|100
0|2021-11-09|115843.0|0|115843.0|0|1982.0|0|0.0|100
0|2021-11-10|115843.0|0|115832.0|0|1982.0|0|0.0|100
0|2021-11-11|115849.0|0|115849.0|0|1993.0|0|0.0|100
0|2021-11-12|115918.0|0|115918.0|0|1993.0|0|0.0|100
0|2021-11-13|115899.0|0|115899.0|0|1994.0|0|0.0|100
0|2021-11-14|115936.0|0|115936.0|0|1994.0|0|0.0|100
0|2021-11-15|115970.0|0|115970.0|0|1994.0|0|0.0|100
0|2021-11-16|116006.0|0|116006.0|0|1999.0|0|0.0|100
0|2021-11-17|116001.0|0|116001.0|0|1999.0|0|0.0|100
0|2021-11-18|116022.0|0|116022.0|0|2000.0|0|0.0|100
0|2021-11-19|115983.0|0|115983.0|0|2002.0|0|0.0|100
0|2021-11-20|116023.0|0|116023.0|0|2002.0|0|0.0|100
0|2021-11-21|116056.0|0|116056.0|0|2002.0|0|0.0|100
0|2021-11-22|116084.0|0|116084.0|0|2002.0|0|0.0|100
0|2021-11-23|116087.0|0|116087.0|0|2006.0|0|0.0|100
0|2021-11-24|116056.0|0|116056.0|0|2005.0|0|0.0|100
0|2021-11-25|116061.0|0|116061.0|0|2006.0|0|0.0|100
