|dates|Lucas_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lucas_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lucas_Ohio_UnitedStates.Male_Total_Population.data|Lucas_Ohio_UnitedStates.Male_Total_Population.missing|Lucas_Ohio_UnitedStates.Female_Total_Population.data|Lucas_Ohio_UnitedStates.Female_Total_Population.missing|Lucas_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Lucas_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-18|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-19|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-20|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-21|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-22|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-23|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-24|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-25|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-26|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-27|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-28|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-29|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-30|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-10-31|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-01|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-02|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-03|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-04|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-05|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-06|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-07|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-08|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-09|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-10|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-11|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-12|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-13|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-14|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-15|70047.0|0|208402.0|0|221497.0|0|98562.0|0
0|2021-11-16|70047.0|0|208402.0|0|221497.0|0|98562.0|0
