|dates|Kings_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kings_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kings_NewYork_UnitedStates.Male_Total_Population.data|Kings_NewYork_UnitedStates.Male_Total_Population.missing|Kings_NewYork_UnitedStates.Female_Total_Population.data|Kings_NewYork_UnitedStates.Female_Total_Population.missing|Kings_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Kings_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-18|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-19|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-20|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-21|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-22|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-23|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-24|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-25|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-26|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-27|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-28|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-29|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-30|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-10-31|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-01|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-02|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-03|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-04|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-05|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-06|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-07|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-08|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-09|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-10|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-11|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-12|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-13|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-14|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-15|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-16|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-17|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-18|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-19|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-20|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-21|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-22|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-23|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-24|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-25|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-26|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-27|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-28|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-29|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-11-30|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-01|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-02|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-03|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-04|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-05|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-06|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-07|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-08|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-09|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-10|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-11|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-12|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-13|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-14|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-15|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-16|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
0|2021-12-17|359246.0|0|1223764.0|0|1359066.0|0|588975.0|0
