|dates|Bayamon_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|Bayamon_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|Bayamon_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|Bayamon_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|Bayamon_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|Bayamon_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|Bayamon_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|Bayamon_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-02|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-03|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-04|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-05|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-06|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-07|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-08|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-09|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-10|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-11|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-12|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-13|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-14|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-15|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-16|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-17|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-18|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-19|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-20|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-21|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
0|2020-01-22|57058.0|0|4248.5|0|6.929934020046814|0|61306.5|0
