|dates|Atchison_Missouri_UnitedStates.JHU_ConfirmedCases.data|Atchison_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Atchison_Missouri_UnitedStates.NYT_ConfirmedCases.data|Atchison_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Atchison_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Atchison_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Atchison_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Atchison_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|660.0|0|660.0|0|7.0|0|0.0|100
0|2021-10-18|660.0|0|660.0|0|7.0|0|0.0|100
0|2021-10-19|665.0|0|665.0|0|7.0|0|0.0|100
0|2021-10-20|665.0|0|665.0|0|7.0|0|0.0|100
0|2021-10-21|666.0|0|666.0|0|7.0|0|0.0|100
0|2021-10-22|669.0|0|669.0|0|7.0|0|0.0|100
0|2021-10-23|669.0|0|669.0|0|7.0|0|0.0|100
0|2021-10-24|669.0|0|669.0|0|7.0|0|0.0|100
0|2021-10-25|669.0|0|669.0|0|7.0|0|0.0|100
0|2021-10-26|669.0|0|669.0|0|7.0|0|0.0|100
0|2021-10-27|670.0|0|670.0|0|7.0|0|0.0|100
0|2021-10-28|672.0|0|672.0|0|7.0|0|0.0|100
0|2021-10-29|673.0|0|673.0|0|7.0|0|0.0|100
0|2021-10-30|674.0|0|674.0|0|7.0|0|0.0|100
0|2021-10-31|674.0|0|674.0|0|7.0|0|0.0|100
0|2021-11-01|674.0|0|674.0|0|7.0|0|0.0|100
0|2021-11-02|674.0|0|674.0|0|7.0|0|0.0|100
0|2021-11-03|680.0|0|680.0|0|7.0|0|0.0|100
0|2021-11-04|680.0|0|680.0|0|7.0|0|0.0|100
0|2021-11-05|685.0|0|685.0|0|7.0|0|0.0|100
0|2021-11-06|687.0|0|687.0|0|7.0|0|0.0|100
0|2021-11-07|687.0|0|687.0|0|7.0|0|0.0|100
0|2021-11-08|687.0|0|687.0|0|7.0|0|0.0|100
0|2021-11-09|689.0|0|689.0|0|7.0|0|0.0|100
0|2021-11-10|689.0|0|702.0|0|7.0|0|0.0|100
0|2021-11-11|702.0|0|702.0|0|7.0|0|0.0|100
0|2021-11-12|720.0|0|720.0|0|7.0|0|0.0|100
0|2021-11-13|727.0|0|727.0|0|7.0|0|0.0|100
0|2021-11-14|727.0|0|727.0|0|7.0|0|0.0|100
