|dates|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dorchester_SouthCarolina_UnitedStates.Male_Total_Population.data|Dorchester_SouthCarolina_UnitedStates.Male_Total_Population.missing|Dorchester_SouthCarolina_UnitedStates.Female_Total_Population.data|Dorchester_SouthCarolina_UnitedStates.Female_Total_Population.missing|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-18|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-19|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-20|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-21|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-22|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-23|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-24|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-25|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-26|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-27|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-28|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-29|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-30|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-10-31|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-01|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-02|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-03|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-04|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-05|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-06|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-07|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-08|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-09|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-10|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-11|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-12|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-13|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-14|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-15|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-16|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-17|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-18|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-19|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-20|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-21|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-22|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-23|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-24|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-25|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-26|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-27|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-28|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-29|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-11-30|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-01|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-02|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-03|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-04|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-05|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-06|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-07|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-08|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-09|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-10|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-11|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-12|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-13|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-14|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-15|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-16|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-17|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-18|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-19|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-20|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-21|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-22|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-23|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-24|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-25|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-26|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-27|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-28|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-29|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-30|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2021-12-31|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-01|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-02|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-03|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-04|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-05|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-06|22634.0|0|78076.0|0|82571.0|0|39214.0|0
