|dates|Pierce_Washington_UnitedStates.JHU_ConfirmedCases.data|Pierce_Washington_UnitedStates.JHU_ConfirmedCases.missing|Pierce_Washington_UnitedStates.NYT_ConfirmedCases.data|Pierce_Washington_UnitedStates.NYT_ConfirmedCases.missing|Pierce_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Pierce_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Pierce_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Pierce_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|88562.0|0|88568.0|0|846.0|0|0.0|100
0|2021-10-18|88562.0|0|88568.0|0|846.0|0|0.0|100
0|2021-10-19|89677.0|0|89683.0|0|853.0|0|0.0|100
0|2021-10-20|89980.0|0|89986.0|0|857.0|0|0.0|100
0|2021-10-21|90420.0|0|90426.0|0|866.0|0|0.0|100
0|2021-10-22|90701.0|0|90707.0|0|864.0|0|0.0|100
0|2021-10-23|90701.0|0|90707.0|0|864.0|0|0.0|100
0|2021-10-24|90701.0|0|90707.0|0|864.0|0|0.0|100
0|2021-10-25|91489.0|0|91495.0|0|865.0|0|0.0|100
0|2021-10-26|91708.0|0|91714.0|0|865.0|0|0.0|100
0|2021-10-27|91870.0|0|91876.0|0|867.0|0|0.0|100
0|2021-10-28|92241.0|0|92247.0|0|873.0|0|0.0|100
0|2021-10-29|92533.0|0|92539.0|0|877.0|0|0.0|100
0|2021-10-30|92533.0|0|92539.0|0|877.0|0|0.0|100
0|2021-10-31|92533.0|0|92539.0|0|877.0|0|0.0|100
0|2021-11-01|93111.0|0|93117.0|0|880.0|0|0.0|100
0|2021-11-02|93331.0|0|93337.0|0|888.0|0|0.0|100
0|2021-11-03|93516.0|0|93522.0|0|892.0|0|0.0|100
0|2021-11-04|93838.0|0|93844.0|0|895.0|0|0.0|100
0|2021-11-05|94007.0|0|94013.0|0|898.0|0|0.0|100
0|2021-11-06|94007.0|0|94013.0|0|898.0|0|0.0|100
0|2021-11-07|94007.0|0|94013.0|0|898.0|0|0.0|100
0|2021-11-08|94851.0|0|94857.0|0|901.0|0|0.0|100
0|2021-11-09|95083.0|0|95089.0|0|902.0|0|0.0|100
0|2021-11-10|95358.0|0|95364.0|0|902.0|0|0.0|100
0|2021-11-11|95358.0|0|95364.0|0|902.0|0|0.0|100
0|2021-11-12|95924.0|0|95930.0|0|916.0|0|0.0|100
0|2021-11-13|95924.0|0|95930.0|0|916.0|0|0.0|100
0|2021-11-14|95924.0|0|95930.0|0|916.0|0|0.0|100
0|2021-11-15|96501.0|0|96507.0|0|920.0|0|0.0|100
0|2021-11-16|96587.0|0|96593.0|0|926.0|0|0.0|100
0|2021-11-17|96808.0|0|96814.0|0|931.0|0|0.0|100
0|2021-11-18|97055.0|0|97061.0|0|938.0|0|0.0|100
0|2021-11-19|97227.0|0|97233.0|0|944.0|0|0.0|100
0|2021-11-20|97227.0|0|97233.0|0|944.0|0|0.0|100
0|2021-11-21|97227.0|0|97233.0|0|944.0|0|0.0|100
0|2021-11-22|97759.0|0|97765.0|0|949.0|0|0.0|100
0|2021-11-23|97868.0|0|97874.0|0|950.0|0|0.0|100
0|2021-11-24|98033.0|0|98039.0|0|955.0|0|0.0|100
0|2021-11-25|98033.0|0|98039.0|0|955.0|0|0.0|100
0|2021-11-26|98033.0|0|98039.0|0|955.0|0|0.0|100
0|2021-11-27|98033.0|0|98039.0|0|955.0|0|0.0|100
0|2021-11-28|98033.0|0|98039.0|0|955.0|0|0.0|100
0|2021-11-29|98694.0|0|98700.0|0|956.0|0|0.0|100
0|2021-11-30|98822.0|0|98828.0|0|964.0|0|0.0|100
0|2021-12-01|98822.0|0|98828.0|0|964.0|0|0.0|100
0|2021-12-02|99605.0|0|99611.0|0|974.0|0|0.0|100
0|2021-12-03|99755.0|0|99761.0|0|977.0|0|0.0|100
0|2021-12-04|99755.0|0|99761.0|0|977.0|0|0.0|100
0|2021-12-05|99755.0|0|99761.0|0|977.0|0|0.0|100
0|2021-12-06|100245.0|0|100251.0|0|976.0|0|0.0|100
0|2021-12-07|100566.0|0|100572.0|0|980.0|0|0.0|100
0|2021-12-08|100714.0|0|100720.0|0|981.0|0|0.0|100
0|2021-12-09|101000.0|0|101006.0|0|985.0|0|0.0|100
0|2021-12-10|101186.0|0|101192.0|0|987.0|0|0.0|100
0|2021-12-11|101186.0|0|101192.0|0|987.0|0|0.0|100
0|2021-12-12|101186.0|0|101192.0|0|987.0|0|0.0|100
0|2021-12-13|101765.0|0|101771.0|0|986.0|0|0.0|100
0|2021-12-14|101765.0|0|101930.0|0|986.0|0|0.0|100
0|2021-12-15|102157.0|0|102163.0|0|992.0|0|0.0|100
0|2021-12-16|102393.0|0|102399.0|0|992.0|0|0.0|100
0|2021-12-17|102717.0|0|102723.0|0|994.0|0|0.0|100
0|2021-12-18|102717.0|0|102723.0|0|994.0|0|0.0|100
0|2021-12-19|102717.0|0|102723.0|0|994.0|0|0.0|100
0|2021-12-20|103583.0|0|103589.0|0|998.0|0|0.0|100
0|2021-12-21|103831.0|0|103837.0|0|1000.0|0|0.0|100
0|2021-12-22|104185.0|0|104191.0|0|1003.0|0|0.0|100
0|2021-12-23|104998.0|0|105004.0|0|1006.0|0|0.0|100
0|2021-12-24|104998.0|0|105004.0|0|1006.0|0|0.0|100
0|2021-12-25|104998.0|0|105004.0|0|1006.0|0|0.0|100
