|dates|Brewster_Texas_UnitedStates.JHU_ConfirmedCases.data|Brewster_Texas_UnitedStates.JHU_ConfirmedCases.missing|Brewster_Texas_UnitedStates.NYT_ConfirmedCases.data|Brewster_Texas_UnitedStates.NYT_ConfirmedCases.missing|Brewster_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Brewster_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Brewster_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Brewster_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1083.0|0|1083.0|0|19.0|0|0.0|100
0|2021-10-18|1083.0|0|1083.0|0|19.0|0|0.0|100
0|2021-10-19|1083.0|0|1083.0|0|19.0|0|0.0|100
0|2021-10-20|1089.0|0|1089.0|0|19.0|0|0.0|100
0|2021-10-21|1089.0|0|1089.0|0|19.0|0|0.0|100
0|2021-10-22|1089.0|0|1089.0|0|19.0|0|0.0|100
0|2021-10-23|1089.0|0|1089.0|0|20.0|0|0.0|100
0|2021-10-24|1090.0|0|1090.0|0|20.0|0|0.0|100
0|2021-10-25|1090.0|0|1090.0|0|20.0|0|0.0|100
0|2021-10-26|1090.0|0|1090.0|0|20.0|0|0.0|100
0|2021-10-27|1091.0|0|1091.0|0|20.0|0|0.0|100
0|2021-10-28|1091.0|0|1091.0|0|20.0|0|0.0|100
0|2021-10-29|1093.0|0|1093.0|0|20.0|0|0.0|100
0|2021-10-30|1096.0|0|1096.0|0|20.0|0|0.0|100
0|2021-10-31|1097.0|0|1097.0|0|20.0|0|0.0|100
0|2021-11-01|1097.0|0|1097.0|0|20.0|0|0.0|100
0|2021-11-02|1097.0|0|1097.0|0|22.0|0|0.0|100
0|2021-11-03|1097.0|0|1097.0|0|22.0|0|0.0|100
0|2021-11-04|1097.0|0|1097.0|0|22.0|0|0.0|100
0|2021-11-05|1097.0|0|1097.0|0|22.0|0|0.0|100
0|2021-11-06|1098.0|0|1098.0|0|22.0|0|0.0|100
0|2021-11-07|1098.0|0|1098.0|0|22.0|0|0.0|100
0|2021-11-08|1099.0|0|1099.0|0|22.0|0|0.0|100
0|2021-11-09|1101.0|0|1101.0|0|22.0|0|0.0|100
0|2021-11-10|1101.0|0|1101.0|0|22.0|0|0.0|100
0|2021-11-11|1102.0|0|1102.0|0|22.0|0|0.0|100
0|2021-11-12|1103.0|0|1103.0|0|22.0|0|0.0|100
