|dates|Cooke_Texas_UnitedStates.JHU_ConfirmedCases.data|Cooke_Texas_UnitedStates.JHU_ConfirmedCases.missing|Cooke_Texas_UnitedStates.NYT_ConfirmedCases.data|Cooke_Texas_UnitedStates.NYT_ConfirmedCases.missing|Cooke_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Cooke_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Cooke_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Cooke_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5044.0|0|5044.0|0|98.0|0|0.0|100
0|2021-10-18|5044.0|0|5044.0|0|98.0|0|0.0|100
0|2021-10-19|5057.0|0|5057.0|0|98.0|0|0.0|100
0|2021-10-20|5061.0|0|5061.0|0|98.0|0|0.0|100
0|2021-10-21|5069.0|0|5069.0|0|99.0|0|0.0|100
0|2021-10-22|5074.0|0|5074.0|0|99.0|0|0.0|100
0|2021-10-23|5081.0|0|5081.0|0|99.0|0|0.0|100
0|2021-10-24|5081.0|0|5081.0|0|100.0|0|0.0|100
0|2021-10-25|5081.0|0|5081.0|0|100.0|0|0.0|100
0|2021-10-26|5094.0|0|5094.0|0|100.0|0|0.0|100
0|2021-10-27|5096.0|0|5096.0|0|101.0|0|0.0|100
0|2021-10-28|5101.0|0|5101.0|0|101.0|0|0.0|100
0|2021-10-29|5108.0|0|5108.0|0|101.0|0|0.0|100
0|2021-10-30|5120.0|0|5120.0|0|101.0|0|0.0|100
0|2021-10-31|5120.0|0|5120.0|0|101.0|0|0.0|100
0|2021-11-01|5120.0|0|5120.0|0|101.0|0|0.0|100
0|2021-11-02|5151.0|0|5151.0|0|101.0|0|0.0|100
0|2021-11-03|5153.0|0|5153.0|0|101.0|0|0.0|100
0|2021-11-04|5155.0|0|5155.0|0|102.0|0|0.0|100
0|2021-11-05|5156.0|0|5156.0|0|102.0|0|0.0|100
0|2021-11-06|5160.0|0|5160.0|0|102.0|0|0.0|100
0|2021-11-07|5160.0|0|5160.0|0|102.0|0|0.0|100
0|2021-11-08|5160.0|0|5160.0|0|102.0|0|0.0|100
0|2021-11-09|5166.0|0|5166.0|0|102.0|0|0.0|100
