|dates|Jackson_Texas_UnitedStates.JHU_ConfirmedCases.data|Jackson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Texas_UnitedStates.NYT_ConfirmedCases.data|Jackson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2773.0|0|2773.0|0|50.0|0|0.0|100
0|2021-10-18|2773.0|0|2773.0|0|50.0|0|0.0|100
0|2021-10-19|2775.0|0|2775.0|0|50.0|0|0.0|100
0|2021-10-20|2776.0|0|2776.0|0|50.0|0|0.0|100
0|2021-10-21|2777.0|0|2777.0|0|50.0|0|0.0|100
0|2021-10-22|2778.0|0|2778.0|0|50.0|0|0.0|100
0|2021-10-23|2778.0|0|2778.0|0|50.0|0|0.0|100
0|2021-10-24|2778.0|0|2778.0|0|50.0|0|0.0|100
0|2021-10-25|2780.0|0|2780.0|0|50.0|0|0.0|100
0|2021-10-26|2782.0|0|2782.0|0|50.0|0|0.0|100
0|2021-10-27|2782.0|0|2782.0|0|50.0|0|0.0|100
0|2021-10-28|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-10-29|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-10-30|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-10-31|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-01|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-02|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-03|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-04|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-05|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-06|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-07|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-08|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-09|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-10|2786.0|0|2786.0|0|50.0|0|0.0|100
0|2021-11-11|2786.0|0|2786.0|0|51.0|0|0.0|100
0|2021-11-12|2786.0|0|2786.0|0|51.0|0|0.0|100
0|2021-11-13|2786.0|0|2786.0|0|51.0|0|0.0|100
0|2021-11-14|2786.0|0|2786.0|0|51.0|0|0.0|100
0|2021-11-15|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-16|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-17|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-18|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-19|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-20|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-21|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-22|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-23|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-24|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-25|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-26|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-27|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-28|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-29|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-11-30|2786.0|0|2786.0|0|52.0|0|0.0|100
0|2021-12-01|2787.0|0|2787.0|0|52.0|0|0.0|100
0|2021-12-02|2787.0|0|2787.0|0|52.0|0|0.0|100
0|2021-12-03|2790.0|0|2790.0|0|52.0|0|0.0|100
