|dates|VanZandt_Texas_UnitedStates.BLS_EmployedPopulation.data|VanZandt_Texas_UnitedStates.BLS_EmployedPopulation.missing|VanZandt_Texas_UnitedStates.BLS_UnemployedPopulation.data|VanZandt_Texas_UnitedStates.BLS_UnemployedPopulation.missing|VanZandt_Texas_UnitedStates.BLS_UnemploymentRate.data|VanZandt_Texas_UnitedStates.BLS_UnemploymentRate.missing|VanZandt_Texas_UnitedStates.BLS_LaborForcePopulation.data|VanZandt_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-18|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-19|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-20|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-21|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-22|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-23|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-24|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-25|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-26|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-27|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-28|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-29|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-30|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-10-31|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-01|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-02|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-03|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-04|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-05|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-06|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-07|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-08|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-09|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-10|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
0|2021-11-11|25185.0|0|1302.0|0|4.9156189828972705|0|26487.0|0
