|dates|Coahoma_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Coahoma_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Coahoma_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Coahoma_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Coahoma_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Coahoma_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Coahoma_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Coahoma_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4115.0|0|4115.0|0|104.0|0|0.0|100
0|2021-10-18|4127.0|0|4127.0|0|104.0|0|0.0|100
0|2021-10-19|4143.0|0|4143.0|0|104.0|0|0.0|100
0|2021-10-20|4154.0|0|4154.0|0|104.0|0|0.0|100
0|2021-10-21|4159.0|0|4159.0|0|104.0|0|0.0|100
0|2021-10-22|4160.0|0|4160.0|0|105.0|0|0.0|100
0|2021-10-23|4160.0|0|4160.0|0|105.0|0|0.0|100
0|2021-10-24|4160.0|0|4160.0|0|105.0|0|0.0|100
0|2021-10-25|4168.0|0|4168.0|0|107.0|0|0.0|100
0|2021-10-26|4178.0|0|4178.0|0|108.0|0|0.0|100
0|2021-10-27|4182.0|0|4182.0|0|108.0|0|0.0|100
0|2021-10-28|4186.0|0|4186.0|0|108.0|0|0.0|100
0|2021-10-29|4186.0|0|4186.0|0|109.0|0|0.0|100
0|2021-10-30|4186.0|0|4186.0|0|109.0|0|0.0|100
0|2021-10-31|4186.0|0|4186.0|0|109.0|0|0.0|100
0|2021-11-01|4189.0|0|4189.0|0|109.0|0|0.0|100
0|2021-11-02|4192.0|0|4192.0|0|109.0|0|0.0|100
0|2021-11-03|4198.0|0|4198.0|0|109.0|0|0.0|100
0|2021-11-04|4198.0|0|4198.0|0|109.0|0|0.0|100
0|2021-11-05|4201.0|0|4201.0|0|109.0|0|0.0|100
0|2021-11-06|4201.0|0|4201.0|0|109.0|0|0.0|100
