|dates|Laclede_Missouri_UnitedStates.JHU_ConfirmedCases.data|Laclede_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Laclede_Missouri_UnitedStates.NYT_ConfirmedCases.data|Laclede_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Laclede_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Laclede_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Laclede_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Laclede_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5235.0|0|5235.0|0|126.0|0|0.0|100
0|2021-10-18|5236.0|0|5236.0|0|126.0|0|0.0|100
0|2021-10-19|5245.0|0|5245.0|0|127.0|0|0.0|100
0|2021-10-20|5251.0|0|5251.0|0|127.0|0|0.0|100
0|2021-10-21|5252.0|0|5252.0|0|127.0|0|0.0|100
0|2021-10-22|5253.0|0|5253.0|0|128.0|0|0.0|100
0|2021-10-23|5254.0|0|5254.0|0|128.0|0|0.0|100
0|2021-10-24|5257.0|0|5257.0|0|128.0|0|0.0|100
0|2021-10-25|5260.0|0|5260.0|0|128.0|0|0.0|100
0|2021-10-26|5261.0|0|5261.0|0|128.0|0|0.0|100
0|2021-10-27|5268.0|0|5268.0|0|128.0|0|0.0|100
0|2021-10-28|5268.0|0|5268.0|0|128.0|0|0.0|100
0|2021-10-29|5271.0|0|5271.0|0|128.0|0|0.0|100
0|2021-10-30|5272.0|0|5272.0|0|128.0|0|0.0|100
0|2021-10-31|5274.0|0|5274.0|0|128.0|0|0.0|100
0|2021-11-01|5275.0|0|5275.0|0|128.0|0|0.0|100
0|2021-11-02|5279.0|0|5279.0|0|128.0|0|0.0|100
0|2021-11-03|5281.0|0|5281.0|0|129.0|0|0.0|100
0|2021-11-04|5285.0|0|5285.0|0|129.0|0|0.0|100
0|2021-11-05|5292.0|0|5292.0|0|129.0|0|0.0|100
0|2021-11-06|5295.0|0|5295.0|0|129.0|0|0.0|100
0|2021-11-07|5299.0|0|5299.0|0|129.0|0|0.0|100
0|2021-11-08|5299.0|0|5299.0|0|129.0|0|0.0|100
0|2021-11-09|5304.0|0|5304.0|0|129.0|0|0.0|100
0|2021-11-10|5304.0|0|5306.0|0|129.0|0|0.0|100
0|2021-11-11|5306.0|0|5306.0|0|129.0|0|0.0|100
0|2021-11-12|5315.0|0|5315.0|0|129.0|0|0.0|100
0|2021-11-13|5324.0|0|5324.0|0|129.0|0|0.0|100
0|2021-11-14|5327.0|0|5327.0|0|129.0|0|0.0|100
0|2021-11-15|5334.0|0|5334.0|0|129.0|0|0.0|100
0|2021-11-16|5341.0|0|5341.0|0|131.0|0|0.0|100
0|2021-11-17|5353.0|0|5353.0|0|131.0|0|0.0|100
0|2021-11-18|5435.0|0|5435.0|0|132.0|0|0.0|100
0|2021-11-19|5452.0|0|5452.0|0|132.0|0|0.0|100
0|2021-11-20|5470.0|0|5470.0|0|132.0|0|0.0|100
0|2021-11-21|5470.0|0|5470.0|0|132.0|0|0.0|100
0|2021-11-22|5475.0|0|5475.0|0|131.0|0|0.0|100
0|2021-11-23|5482.0|0|5482.0|0|131.0|0|0.0|100
0|2021-11-24|5492.0|0|5492.0|0|131.0|0|0.0|100
0|2021-11-25|5492.0|0|5492.0|0|131.0|0|0.0|100
0|2021-11-26|5492.0|0|5492.0|0|131.0|0|0.0|100
0|2021-11-27|5492.0|0|5492.0|0|131.0|0|0.0|100
0|2021-11-28|5492.0|0|5492.0|0|131.0|0|0.0|100
0|2021-11-29|5539.0|0|5539.0|0|131.0|0|0.0|100
0|2021-11-30|5549.0|0|5549.0|0|132.0|0|0.0|100
0|2021-12-01|5562.0|0|5562.0|0|133.0|0|0.0|100
0|2021-12-02|5562.0|0|5574.0|0|133.0|0|0.0|100
0|2021-12-03|5574.0|0|5574.0|0|149.0|0|0.0|100
0|2021-12-04|5602.0|0|5602.0|0|149.0|0|0.0|100
0|2021-12-05|5609.0|0|5609.0|0|149.0|0|0.0|100
0|2021-12-06|5623.0|0|5623.0|0|149.0|0|0.0|100
0|2021-12-07|5649.0|0|5649.0|0|149.0|0|0.0|100
0|2021-12-08|5667.0|0|5667.0|0|149.0|0|0.0|100
0|2021-12-09|5692.0|0|5692.0|0|149.0|0|0.0|100
0|2021-12-10|5709.0|0|5709.0|0|149.0|0|0.0|100
0|2021-12-11|5722.0|0|5722.0|0|149.0|0|0.0|100
0|2021-12-12|5734.0|0|5734.0|0|149.0|0|0.0|100
0|2021-12-13|5764.0|0|5764.0|0|149.0|0|0.0|100
0|2021-12-14|5764.0|0|5788.0|0|149.0|0|0.0|100
0|2021-12-15|5803.0|0|5803.0|0|150.0|0|0.0|100
0|2021-12-16|5833.0|0|5833.0|0|151.0|0|0.0|100
0|2021-12-17|5846.0|0|5846.0|0|151.0|0|0.0|100
0|2021-12-18|5872.0|0|5872.0|0|151.0|0|0.0|100
0|2021-12-19|5877.0|0|5877.0|0|151.0|0|0.0|100
0|2021-12-20|5894.0|0|5894.0|0|151.0|0|0.0|100
0|2021-12-21|5895.0|0|5895.0|0|152.0|0|0.0|100
0|2021-12-22|5913.0|0|5913.0|0|152.0|0|0.0|100
0|2021-12-23|5939.0|0|5939.0|0|152.0|0|0.0|100
0|2021-12-24|5939.0|0|5939.0|0|152.0|0|0.0|100
0|2021-12-25|5939.0|0|5939.0|0|152.0|0|0.0|100
0|2021-12-26|5939.0|0|5939.0|0|152.0|0|0.0|100
0|2021-12-27|5984.0|0|5984.0|0|152.0|0|0.0|100
0|2021-12-28|5994.0|0|5994.0|0|153.0|0|0.0|100
0|2021-12-29|6021.0|0|6021.0|0|153.0|0|0.0|100
0|2021-12-30|6050.0|0|6050.0|0|153.0|0|0.0|100
0|2021-12-31|6050.0|0|6050.0|0|153.0|0|0.0|100
0|2022-01-01|6050.0|0|6050.0|0|153.0|0|0.0|100
0|2022-01-02|6050.0|0|6050.0|0|153.0|0|0.0|100
0|2022-01-03|6050.0|0|6099.0|0|153.0|0|0.0|100
0|2022-01-04|6106.0|0|6106.0|0|154.0|0|0.0|100
0|2022-01-05|6147.0|0|6147.0|0|154.0|0|0.0|100
0|2022-01-06|6193.0|0|6193.0|0|154.0|0|0.0|100
0|2022-01-07|6245.0|0|6245.0|0|154.0|0|0.0|100
0|2022-01-08|6287.0|0|6287.0|0|154.0|0|0.0|100
0|2022-01-09|6303.0|0|6303.0|0|154.0|0|0.0|100
0|2022-01-10|6320.0|0|6320.0|0|154.0|0|0.0|100
0|2022-01-11|6363.0|0|6363.0|0|155.0|0|0.0|100
0|2022-01-12|6433.0|0|6433.0|0|155.0|0|0.0|100
0|2022-01-13|6433.0|0|6502.0|0|155.0|0|0.0|100
0|2022-01-14|6563.0|0|6563.0|0|155.0|0|0.0|100
0|2022-01-15|6643.0|0|6643.0|0|155.0|0|0.0|100
0|2022-01-16|6643.0|0|6643.0|0|155.0|0|0.0|100
0|2022-01-17|6643.0|0|0.0|100|155.0|0|0.0|100
