|dates|Davison_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Davison_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Davison_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Davison_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Davison_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Davison_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Davison_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Davison_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3673.0|0|3673.0|0|69.0|0|0.0|100
0|2021-10-18|3673.0|0|3677.0|0|69.0|0|0.0|100
0|2021-10-19|3673.0|0|3689.0|0|69.0|0|0.0|100
0|2021-10-20|3694.0|0|3694.0|0|69.0|0|0.0|100
0|2021-10-21|3701.0|0|3701.0|0|69.0|0|0.0|100
0|2021-10-22|3704.0|0|3704.0|0|69.0|0|0.0|100
0|2021-10-23|3704.0|0|3704.0|0|69.0|0|0.0|100
0|2021-10-24|3704.0|0|3704.0|0|69.0|0|0.0|100
0|2021-10-25|3712.0|0|3712.0|0|69.0|0|0.0|100
0|2021-10-26|3721.0|0|3721.0|0|69.0|0|0.0|100
0|2021-10-27|3730.0|0|3730.0|0|69.0|0|0.0|100
0|2021-10-28|3735.0|0|3735.0|0|69.0|0|0.0|100
0|2021-10-29|3742.0|0|3742.0|0|69.0|0|0.0|100
0|2021-10-30|3742.0|0|3742.0|0|69.0|0|0.0|100
0|2021-10-31|3742.0|0|3742.0|0|69.0|0|0.0|100
0|2021-11-01|3751.0|0|3751.0|0|69.0|0|0.0|100
0|2021-11-02|3762.0|0|3762.0|0|69.0|0|0.0|100
0|2021-11-03|3770.0|0|3770.0|0|69.0|0|0.0|100
0|2021-11-04|3781.0|0|3781.0|0|69.0|0|0.0|100
0|2021-11-05|3786.0|0|3786.0|0|70.0|0|0.0|100
0|2021-11-06|3786.0|0|3786.0|0|70.0|0|0.0|100
0|2021-11-07|3786.0|0|3786.0|0|70.0|0|0.0|100
0|2021-11-08|3799.0|0|3799.0|0|70.0|0|0.0|100
0|2021-11-09|3812.0|0|3812.0|0|70.0|0|0.0|100
0|2021-11-10|3829.0|0|3829.0|0|70.0|0|0.0|100
0|2021-11-11|3829.0|0|3829.0|0|70.0|0|0.0|100
0|2021-11-12|3847.0|0|3847.0|0|70.0|0|0.0|100
0|2021-11-13|3847.0|0|3847.0|0|70.0|0|0.0|100
0|2021-11-14|3847.0|0|3847.0|0|70.0|0|0.0|100
0|2021-11-15|3874.0|0|3874.0|0|70.0|0|0.0|100
0|2021-11-16|3898.0|0|3898.0|0|70.0|0|0.0|100
