|dates|Cannon_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Cannon_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Cannon_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Cannon_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Cannon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Cannon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Cannon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Cannon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2771.0|0|2771.0|0|40.0|0|0.0|100
0|2021-10-18|2776.0|0|2776.0|0|40.0|0|0.0|100
0|2021-10-19|2777.0|0|2777.0|0|40.0|0|0.0|100
0|2021-10-20|2784.0|0|2784.0|0|40.0|0|0.0|100
0|2021-10-21|2786.0|0|2786.0|0|40.0|0|0.0|100
0|2021-10-22|2786.0|0|2786.0|0|42.0|0|0.0|100
0|2021-10-23|2786.0|0|2786.0|0|42.0|0|0.0|100
0|2021-10-24|2786.0|0|2786.0|0|42.0|0|0.0|100
0|2021-10-25|2786.0|0|2786.0|0|42.0|0|0.0|100
0|2021-10-26|2795.0|0|2795.0|0|42.0|0|0.0|100
0|2021-10-27|2795.0|0|2795.0|0|43.0|0|0.0|100
0|2021-10-28|2798.0|0|2798.0|0|43.0|0|0.0|100
0|2021-10-29|2800.0|0|2800.0|0|43.0|0|0.0|100
0|2021-10-30|2800.0|0|2800.0|0|43.0|0|0.0|100
0|2021-10-31|2800.0|0|2800.0|0|43.0|0|0.0|100
0|2021-11-01|2800.0|0|2800.0|0|43.0|0|0.0|100
0|2021-11-02|2805.0|0|2805.0|0|43.0|0|0.0|100
0|2021-11-03|2804.0|0|2804.0|0|43.0|0|0.0|100
0|2021-11-04|2805.0|0|2805.0|0|43.0|0|0.0|100
0|2021-11-05|2805.0|0|2805.0|0|43.0|0|0.0|100
0|2021-11-06|2805.0|0|2805.0|0|43.0|0|0.0|100
0|2021-11-07|2805.0|0|2805.0|0|43.0|0|0.0|100
0|2021-11-08|2805.0|0|2805.0|0|43.0|0|0.0|100
0|2021-11-09|2809.0|0|2809.0|0|43.0|0|0.0|100
0|2021-11-10|2809.0|0|2816.0|0|43.0|0|0.0|100
0|2021-11-11|2816.0|0|2816.0|0|43.0|0|0.0|100
0|2021-11-12|2817.0|0|2817.0|0|43.0|0|0.0|100
0|2021-11-13|2817.0|0|2817.0|0|43.0|0|0.0|100
0|2021-11-14|2817.0|0|2817.0|0|43.0|0|0.0|100
0|2021-11-15|2818.0|0|2818.0|0|43.0|0|0.0|100
0|2021-11-16|2824.0|0|2824.0|0|43.0|0|0.0|100
0|2021-11-17|2825.0|0|2825.0|0|43.0|0|0.0|100
0|2021-11-18|2829.0|0|2829.0|0|43.0|0|0.0|100
0|2021-11-19|2832.0|0|2832.0|0|43.0|0|0.0|100
0|2021-11-20|2832.0|0|2832.0|0|43.0|0|0.0|100
0|2021-11-21|2832.0|0|2832.0|0|43.0|0|0.0|100
0|2021-11-22|2839.0|0|2839.0|0|44.0|0|0.0|100
0|2021-11-23|2839.0|0|2839.0|0|44.0|0|0.0|100
0|2021-11-24|2841.0|0|2841.0|0|44.0|0|0.0|100
0|2021-11-25|2841.0|0|2841.0|0|44.0|0|0.0|100
0|2021-11-26|2841.0|0|2841.0|0|44.0|0|0.0|100
0|2021-11-27|2841.0|0|2841.0|0|44.0|0|0.0|100
0|2021-11-28|2841.0|0|2841.0|0|44.0|0|0.0|100
0|2021-11-29|2853.0|0|2853.0|0|44.0|0|0.0|100
0|2021-11-30|2860.0|0|2860.0|0|44.0|0|0.0|100
0|2021-12-01|2864.0|0|2864.0|0|44.0|0|0.0|100
0|2021-12-02|2869.0|0|2869.0|0|44.0|0|0.0|100
0|2021-12-03|2870.0|0|2870.0|0|44.0|0|0.0|100
0|2021-12-04|2870.0|0|2870.0|0|44.0|0|0.0|100
0|2021-12-05|2870.0|0|2870.0|0|44.0|0|0.0|100
0|2021-12-06|2882.0|0|2882.0|0|44.0|0|0.0|100
0|2021-12-07|2883.0|0|2883.0|0|45.0|0|0.0|100
0|2021-12-08|2886.0|0|2886.0|0|45.0|0|0.0|100
0|2021-12-09|2886.0|0|2886.0|0|45.0|0|0.0|100
0|2021-12-10|2895.0|0|2895.0|0|45.0|0|0.0|100
0|2021-12-11|2895.0|0|2895.0|0|45.0|0|0.0|100
0|2021-12-12|2895.0|0|2895.0|0|45.0|0|0.0|100
0|2021-12-13|2906.0|0|2906.0|0|45.0|0|0.0|100
0|2021-12-14|2906.0|0|2910.0|0|45.0|0|0.0|100
0|2021-12-15|2914.0|0|2914.0|0|45.0|0|0.0|100
0|2021-12-16|2920.0|0|2920.0|0|45.0|0|0.0|100
0|2021-12-17|2923.0|0|2923.0|0|45.0|0|0.0|100
0|2021-12-18|2923.0|0|2923.0|0|45.0|0|0.0|100
0|2021-12-19|2923.0|0|2923.0|0|45.0|0|0.0|100
0|2021-12-20|2932.0|0|2932.0|0|45.0|0|0.0|100
0|2021-12-21|2935.0|0|2935.0|0|45.0|0|0.0|100
0|2021-12-22|2940.0|0|2940.0|0|45.0|0|0.0|100
0|2021-12-23|2948.0|0|2948.0|0|50.0|0|0.0|100
0|2021-12-24|2948.0|0|2948.0|0|50.0|0|0.0|100
0|2021-12-25|2948.0|0|2948.0|0|50.0|0|0.0|100
0|2021-12-26|2948.0|0|2948.0|0|50.0|0|0.0|100
0|2021-12-27|2957.0|0|2957.0|0|50.0|0|0.0|100
0|2021-12-28|2957.0|0|2963.0|0|50.0|0|0.0|100
0|2021-12-29|2977.0|0|2977.0|0|50.0|0|0.0|100
0|2021-12-30|2991.0|0|2991.0|0|50.0|0|0.0|100
0|2021-12-31|2991.0|0|2991.0|0|50.0|0|0.0|100
0|2022-01-01|2991.0|0|2991.0|0|50.0|0|0.0|100
0|2022-01-02|2991.0|0|2991.0|0|50.0|0|0.0|100
0|2022-01-03|3025.0|0|3025.0|0|50.0|0|0.0|100
0|2022-01-04|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-05|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-06|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-07|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-08|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-09|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-10|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-11|3032.0|0|3032.0|0|50.0|0|0.0|100
0|2022-01-12|3121.0|0|3121.0|0|50.0|0|0.0|100
0|2022-01-13|3121.0|0|3121.0|0|50.0|0|0.0|100
0|2022-01-14|3121.0|0|3121.0|0|50.0|0|0.0|100
0|2022-01-15|3121.0|0|3121.0|0|50.0|0|0.0|100
0|2022-01-16|3121.0|0|3121.0|0|50.0|0|0.0|100
0|2022-01-17|3121.0|0|0.0|100|50.0|0|0.0|100
