|dates|Bannock_Idaho_UnitedStates.JHU_ConfirmedCases.data|Bannock_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Bannock_Idaho_UnitedStates.NYT_ConfirmedCases.data|Bannock_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Bannock_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Bannock_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Bannock_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Bannock_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12770.0|0|12770.0|0|168.0|0|0.0|100
0|2021-10-18|12849.0|0|12849.0|0|168.0|0|0.0|100
0|2021-10-19|12909.0|0|12909.0|0|168.0|0|0.0|100
0|2021-10-20|12991.0|0|12991.0|0|169.0|0|0.0|100
0|2021-10-21|13034.0|0|13034.0|0|171.0|0|0.0|100
0|2021-10-22|13089.0|0|13089.0|0|171.0|0|0.0|100
0|2021-10-23|13090.0|0|13090.0|0|174.0|0|0.0|100
0|2021-10-24|13088.0|0|13088.0|0|174.0|0|0.0|100
0|2021-10-25|13201.0|0|13201.0|0|175.0|0|0.0|100
0|2021-10-26|13248.0|0|13248.0|0|178.0|0|0.0|100
0|2021-10-27|13297.0|0|13297.0|0|180.0|0|0.0|100
0|2021-10-28|13359.0|0|13359.0|0|180.0|0|0.0|100
0|2021-10-29|13410.0|0|13410.0|0|185.0|0|0.0|100
0|2021-10-30|13412.0|0|13412.0|0|185.0|0|0.0|100
0|2021-10-31|13410.0|0|13410.0|0|185.0|0|0.0|100
0|2021-11-01|13503.0|0|13503.0|0|188.0|0|0.0|100
0|2021-11-02|13552.0|0|13552.0|0|188.0|0|0.0|100
0|2021-11-03|13594.0|0|13594.0|0|188.0|0|0.0|100
0|2021-11-04|13629.0|0|13629.0|0|189.0|0|0.0|100
0|2021-11-05|13675.0|0|13675.0|0|190.0|0|0.0|100
0|2021-11-06|13677.0|0|13677.0|0|190.0|0|0.0|100
0|2021-11-07|13677.0|0|13677.0|0|190.0|0|0.0|100
0|2021-11-08|13756.0|0|13756.0|0|192.0|0|0.0|100
0|2021-11-09|13796.0|0|13796.0|0|192.0|0|0.0|100
0|2021-11-10|13796.0|0|13833.0|0|192.0|0|0.0|100
0|2021-11-11|13833.0|0|13833.0|0|192.0|0|0.0|100
0|2021-11-12|13913.0|0|13839.0|0|194.0|0|0.0|100
0|2021-11-13|13916.0|0|13913.0|0|195.0|0|0.0|100
0|2021-11-14|13916.0|0|13916.0|0|195.0|0|0.0|100
0|2021-11-15|13959.0|0|13959.0|0|195.0|0|0.0|100
0|2021-11-16|13985.0|0|13985.0|0|195.0|0|0.0|100
0|2021-11-17|14012.0|0|14012.0|0|196.0|0|0.0|100
0|2021-11-18|14046.0|0|14046.0|0|196.0|0|0.0|100
0|2021-11-19|14068.0|0|14046.0|0|196.0|0|0.0|100
0|2021-11-20|14071.0|0|14071.0|0|196.0|0|0.0|100
0|2021-11-21|14071.0|0|14071.0|0|196.0|0|0.0|100
0|2021-11-22|14121.0|0|14121.0|0|196.0|0|0.0|100
0|2021-11-23|14141.0|0|14141.0|0|200.0|0|0.0|100
0|2021-11-24|14171.0|0|14171.0|0|201.0|0|0.0|100
0|2021-11-25|14171.0|0|14171.0|0|201.0|0|0.0|100
0|2021-11-26|14195.0|0|14195.0|0|201.0|0|0.0|100
