|dates|Perry_Alabama_UnitedStates.JHU_ConfirmedCases.data|Perry_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Perry_Alabama_UnitedStates.NYT_ConfirmedCases.data|Perry_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Perry_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Perry_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Perry_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Perry_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1380.0|0|1380.0|0|40.0|0|0.0|100
0|2021-10-18|1380.0|0|1380.0|0|40.0|0|0.0|100
0|2021-10-19|1382.0|0|1382.0|0|40.0|0|0.0|100
0|2021-10-20|1384.0|0|1384.0|0|40.0|0|0.0|100
0|2021-10-21|1383.0|0|1383.0|0|40.0|0|0.0|100
0|2021-10-22|1383.0|0|1383.0|0|40.0|0|0.0|100
0|2021-10-23|1388.0|0|1388.0|0|40.0|0|0.0|100
0|2021-10-24|1388.0|0|1388.0|0|40.0|0|0.0|100
0|2021-10-25|1389.0|0|1389.0|0|40.0|0|0.0|100
0|2021-10-26|1392.0|0|1392.0|0|40.0|0|0.0|100
0|2021-10-27|1395.0|0|1395.0|0|40.0|0|0.0|100
0|2021-10-28|1399.0|0|1399.0|0|40.0|0|0.0|100
0|2021-10-29|1404.0|0|1404.0|0|40.0|0|0.0|100
0|2021-10-30|1408.0|0|1408.0|0|40.0|0|0.0|100
0|2021-10-31|1409.0|0|1409.0|0|40.0|0|0.0|100
0|2021-11-01|1409.0|0|1409.0|0|40.0|0|0.0|100
0|2021-11-02|1411.0|0|1411.0|0|40.0|0|0.0|100
0|2021-11-03|1412.0|0|1412.0|0|40.0|0|0.0|100
0|2021-11-04|1415.0|0|1415.0|0|40.0|0|0.0|100
0|2021-11-05|1414.0|0|1414.0|0|40.0|0|0.0|100
0|2021-11-06|1414.0|0|1414.0|0|40.0|0|0.0|100
0|2021-11-07|1415.0|0|1415.0|0|40.0|0|0.0|100
0|2021-11-08|1415.0|0|1415.0|0|40.0|0|0.0|100
0|2021-11-09|1415.0|0|1415.0|0|40.0|0|0.0|100
0|2021-11-10|1415.0|0|1416.0|0|40.0|0|0.0|100
0|2021-11-11|1415.0|0|1415.0|0|40.0|0|0.0|100
0|2021-11-12|1415.0|0|1415.0|0|40.0|0|0.0|100
0|2021-11-13|1414.0|0|1414.0|0|40.0|0|0.0|100
0|2021-11-14|1414.0|0|1414.0|0|40.0|0|0.0|100
0|2021-11-15|1414.0|0|1414.0|0|40.0|0|0.0|100
0|2021-11-16|1416.0|0|1416.0|0|40.0|0|0.0|100
0|2021-11-17|1416.0|0|1416.0|0|40.0|0|0.0|100
0|2021-11-18|1417.0|0|1417.0|0|40.0|0|0.0|100
0|2021-11-19|1418.0|0|1418.0|0|40.0|0|0.0|100
0|2021-11-20|1418.0|0|1418.0|0|40.0|0|0.0|100
