|dates|Franklin_Idaho_UnitedStates.JHU_ConfirmedCases.data|Franklin_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Idaho_UnitedStates.NYT_ConfirmedCases.data|Franklin_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1534.0|0|1538.0|0|22.0|0|0.0|100
0|2021-10-18|1539.0|0|1543.0|0|22.0|0|0.0|100
0|2021-10-19|1540.0|0|1544.0|0|22.0|0|0.0|100
0|2021-10-20|1546.0|0|1549.0|0|23.0|0|0.0|100
0|2021-10-21|1562.0|0|1566.0|0|23.0|0|0.0|100
0|2021-10-22|1564.0|0|1568.0|0|23.0|0|0.0|100
0|2021-10-23|1564.0|0|1568.0|0|23.0|0|0.0|100
0|2021-10-24|1564.0|0|1568.0|0|23.0|0|0.0|100
0|2021-10-25|1568.0|0|1572.0|0|23.0|0|0.0|100
0|2021-10-26|1570.0|0|1574.0|0|23.0|0|0.0|100
0|2021-10-27|1571.0|0|1575.0|0|23.0|0|0.0|100
0|2021-10-28|1595.0|0|1599.0|0|23.0|0|0.0|100
0|2021-10-29|1600.0|0|1604.0|0|23.0|0|0.0|100
0|2021-10-30|1600.0|0|1604.0|0|23.0|0|0.0|100
0|2021-10-31|1600.0|0|1604.0|0|23.0|0|0.0|100
0|2021-11-01|1606.0|0|1610.0|0|23.0|0|0.0|100
0|2021-11-02|1624.0|0|1627.0|0|23.0|0|0.0|100
0|2021-11-03|1642.0|0|1645.0|0|23.0|0|0.0|100
0|2021-11-04|1644.0|0|1647.0|0|23.0|0|0.0|100
0|2021-11-05|1656.0|0|1657.0|0|23.0|0|0.0|100
0|2021-11-06|1656.0|0|1657.0|0|23.0|0|0.0|100
0|2021-11-07|1656.0|0|1657.0|0|23.0|0|0.0|100
0|2021-11-08|1662.0|0|1664.0|0|23.0|0|0.0|100
0|2021-11-09|1667.0|0|1669.0|0|23.0|0|0.0|100
0|2021-11-10|1667.0|0|1671.0|0|23.0|0|0.0|100
0|2021-11-11|1670.0|0|1671.0|0|23.0|0|0.0|100
0|2021-11-12|1679.0|0|1678.0|0|23.0|0|0.0|100
0|2021-11-13|1679.0|0|1679.0|0|23.0|0|0.0|100
0|2021-11-14|1679.0|0|1679.0|0|23.0|0|0.0|100
0|2021-11-15|1691.0|0|1691.0|0|23.0|0|0.0|100
0|2021-11-16|1694.0|0|1694.0|0|23.0|0|0.0|100
0|2021-11-17|1697.0|0|1697.0|0|23.0|0|0.0|100
0|2021-11-18|1708.0|0|1708.0|0|23.0|0|0.0|100
0|2021-11-19|1709.0|0|1708.0|0|23.0|0|0.0|100
0|2021-11-20|1709.0|0|1709.0|0|23.0|0|0.0|100
0|2021-11-21|1709.0|0|1709.0|0|23.0|0|0.0|100
0|2021-11-22|1722.0|0|1722.0|0|24.0|0|0.0|100
0|2021-11-23|1726.0|0|1726.0|0|25.0|0|0.0|100
0|2021-11-24|1729.0|0|1729.0|0|26.0|0|0.0|100
0|2021-11-25|1729.0|0|1729.0|0|26.0|0|0.0|100
0|2021-11-26|1740.0|0|1740.0|0|26.0|0|0.0|100
0|2021-11-27|1740.0|0|1740.0|0|26.0|0|0.0|100
0|2021-11-28|1740.0|0|1740.0|0|26.0|0|0.0|100
0|2021-11-29|1743.0|0|1743.0|0|26.0|0|0.0|100
0|2021-11-30|1745.0|0|1745.0|0|26.0|0|0.0|100
0|2021-12-01|1753.0|0|1753.0|0|26.0|0|0.0|100
0|2021-12-02|1753.0|0|1763.0|0|26.0|0|0.0|100
0|2021-12-03|1768.0|0|1763.0|0|26.0|0|0.0|100
0|2021-12-04|1768.0|0|1768.0|0|26.0|0|0.0|100
0|2021-12-05|1768.0|0|1768.0|0|26.0|0|0.0|100
0|2021-12-06|1772.0|0|1772.0|0|26.0|0|0.0|100
0|2021-12-07|1776.0|0|1776.0|0|26.0|0|0.0|100
0|2021-12-08|1776.0|0|1776.0|0|26.0|0|0.0|100
0|2021-12-09|1782.0|0|1782.0|0|26.0|0|0.0|100
0|2021-12-10|1785.0|0|1785.0|0|26.0|0|0.0|100
0|2021-12-11|1785.0|0|1785.0|0|26.0|0|0.0|100
0|2021-12-12|1785.0|0|1785.0|0|26.0|0|0.0|100
0|2021-12-13|1794.0|0|1794.0|0|26.0|0|0.0|100
0|2021-12-14|1794.0|0|1802.0|0|26.0|0|0.0|100
0|2021-12-15|1808.0|0|1808.0|0|26.0|0|0.0|100
0|2021-12-16|1810.0|0|1810.0|0|26.0|0|0.0|100
0|2021-12-17|1811.0|0|1811.0|0|26.0|0|0.0|100
0|2021-12-18|1811.0|0|1811.0|0|26.0|0|0.0|100
0|2021-12-19|1811.0|0|1811.0|0|26.0|0|0.0|100
0|2021-12-20|1811.0|0|1811.0|0|26.0|0|0.0|100
0|2021-12-21|1815.0|0|1815.0|0|26.0|0|0.0|100
0|2021-12-22|1815.0|0|1815.0|0|26.0|0|0.0|100
0|2021-12-23|1815.0|0|1815.0|0|26.0|0|0.0|100
0|2021-12-24|1815.0|0|1815.0|0|26.0|0|0.0|100
0|2021-12-25|1815.0|0|1815.0|0|26.0|0|0.0|100
0|2021-12-26|1815.0|0|1815.0|0|26.0|0|0.0|100
0|2021-12-27|1824.0|0|1824.0|0|26.0|0|0.0|100
0|2021-12-28|1831.0|0|1831.0|0|26.0|0|0.0|100
0|2021-12-29|1832.0|0|1832.0|0|27.0|0|0.0|100
0|2021-12-30|1833.0|0|1833.0|0|27.0|0|0.0|100
0|2021-12-31|1833.0|0|1833.0|0|27.0|0|0.0|100
0|2022-01-01|1833.0|0|1833.0|0|27.0|0|0.0|100
0|2022-01-02|1833.0|0|1833.0|0|27.0|0|0.0|100
0|2022-01-03|1852.0|0|1852.0|0|27.0|0|0.0|100
0|2022-01-04|1867.0|0|1867.0|0|27.0|0|0.0|100
0|2022-01-05|1890.0|0|1890.0|0|27.0|0|0.0|100
0|2022-01-06|1895.0|0|1895.0|0|27.0|0|0.0|100
0|2022-01-07|1911.0|0|1911.0|0|27.0|0|0.0|100
0|2022-01-08|1911.0|0|1911.0|0|27.0|0|0.0|100
0|2022-01-09|1911.0|0|1911.0|0|27.0|0|0.0|100
0|2022-01-10|1938.0|0|1938.0|0|27.0|0|0.0|100
0|2022-01-11|1956.0|0|1956.0|0|27.0|0|0.0|100
0|2022-01-12|1967.0|0|1967.0|0|27.0|0|0.0|100
0|2022-01-13|1967.0|0|1968.0|0|27.0|0|0.0|100
0|2022-01-14|2014.0|0|2014.0|0|27.0|0|0.0|100
0|2022-01-15|2014.0|0|2014.0|0|27.0|0|0.0|100
0|2022-01-16|2014.0|0|2014.0|0|27.0|0|0.0|100
0|2022-01-17|2014.0|0|0.0|100|27.0|0|0.0|100
