|dates|Cass_Illinois_UnitedStates.JHU_ConfirmedCases.data|Cass_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Cass_Illinois_UnitedStates.NYT_ConfirmedCases.data|Cass_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Cass_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Cass_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2647.0|0|2647.0|0|30.0|0|0.0|100
0|2021-10-18|2653.0|0|2653.0|0|30.0|0|0.0|100
0|2021-10-19|2661.0|0|2661.0|0|30.0|0|0.0|100
0|2021-10-20|2662.0|0|2662.0|0|30.0|0|0.0|100
0|2021-10-21|2663.0|0|2663.0|0|30.0|0|0.0|100
0|2021-10-22|2665.0|0|2665.0|0|31.0|0|0.0|100
0|2021-10-23|2665.0|0|2665.0|0|31.0|0|0.0|100
0|2021-10-24|2665.0|0|2665.0|0|31.0|0|0.0|100
0|2021-10-25|2668.0|0|2668.0|0|31.0|0|0.0|100
0|2021-10-26|2669.0|0|2669.0|0|31.0|0|0.0|100
0|2021-10-27|2673.0|0|2673.0|0|31.0|0|0.0|100
0|2021-10-28|2679.0|0|2679.0|0|31.0|0|0.0|100
0|2021-10-29|2677.0|0|2677.0|0|31.0|0|0.0|100
0|2021-10-30|2677.0|0|2677.0|0|31.0|0|0.0|100
0|2021-10-31|2677.0|0|2677.0|0|31.0|0|0.0|100
0|2021-11-01|2678.0|0|2678.0|0|31.0|0|0.0|100
0|2021-11-02|2683.0|0|2683.0|0|31.0|0|0.0|100
0|2021-11-03|2687.0|0|2687.0|0|31.0|0|0.0|100
0|2021-11-04|2694.0|0|2694.0|0|31.0|0|0.0|100
0|2021-11-05|2694.0|0|2694.0|0|31.0|0|0.0|100
0|2021-11-06|2694.0|0|2694.0|0|31.0|0|0.0|100
0|2021-11-07|2694.0|0|2694.0|0|31.0|0|0.0|100
0|2021-11-08|2697.0|0|2697.0|0|31.0|0|0.0|100
0|2021-11-09|2706.0|0|2706.0|0|31.0|0|0.0|100
0|2021-11-10|2706.0|0|2711.0|0|31.0|0|0.0|100
0|2021-11-11|2711.0|0|2711.0|0|31.0|0|0.0|100
0|2021-11-12|2717.0|0|2717.0|0|31.0|0|0.0|100
0|2021-11-13|2717.0|0|2717.0|0|31.0|0|0.0|100
0|2021-11-14|2717.0|0|2717.0|0|31.0|0|0.0|100
0|2021-11-15|2720.0|0|2720.0|0|31.0|0|0.0|100
0|2021-11-16|2720.0|0|2720.0|0|31.0|0|0.0|100
0|2021-11-17|2722.0|0|2722.0|0|31.0|0|0.0|100
0|2021-11-18|2729.0|0|2729.0|0|31.0|0|0.0|100
0|2021-11-19|2738.0|0|2738.0|0|31.0|0|0.0|100
0|2021-11-20|2738.0|0|2738.0|0|31.0|0|0.0|100
0|2021-11-21|2738.0|0|2738.0|0|31.0|0|0.0|100
0|2021-11-22|2740.0|0|2740.0|0|31.0|0|0.0|100
0|2021-11-23|2745.0|0|2745.0|0|31.0|0|0.0|100
0|2021-11-24|2750.0|0|2750.0|0|31.0|0|0.0|100
0|2021-11-25|2750.0|0|2750.0|0|31.0|0|0.0|100
0|2021-11-26|2750.0|0|2750.0|0|31.0|0|0.0|100
0|2021-11-27|2750.0|0|2750.0|0|31.0|0|0.0|100
0|2021-11-28|2750.0|0|2750.0|0|31.0|0|0.0|100
0|2021-11-29|2756.0|0|2756.0|0|31.0|0|0.0|100
0|2021-11-30|2764.0|0|2764.0|0|31.0|0|0.0|100
