|dates|Rusk_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Rusk_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Rusk_Texas_UnitedStates.Male_Total_Population.data|Rusk_Texas_UnitedStates.Male_Total_Population.missing|Rusk_Texas_UnitedStates.Female_Total_Population.data|Rusk_Texas_UnitedStates.Female_Total_Population.missing|Rusk_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Rusk_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-18|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-19|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-20|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-21|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-22|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-23|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-24|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-25|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-26|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-27|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-28|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-29|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-30|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-10-31|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-01|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-02|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-03|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-04|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-05|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-06|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-07|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-08|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-09|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-10|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-11|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-12|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-13|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-14|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-15|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-16|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-17|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-18|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-19|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-20|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-21|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-22|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-23|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-24|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-25|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-26|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-27|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-28|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-29|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-11-30|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-01|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-02|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-03|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-04|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-05|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-06|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-07|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-08|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-09|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-10|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-11|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-12|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-13|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-14|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-15|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-16|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-17|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-18|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-19|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-20|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-21|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-22|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-23|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-24|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-25|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-26|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-27|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-28|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-29|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-30|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2021-12-31|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-01|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-02|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-03|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-04|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-05|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-06|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-07|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-08|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-09|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-10|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-11|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-12|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-13|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-14|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-15|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-16|9027.0|0|29363.0|0|25087.0|0|12111.0|0
0|2022-01-17|9027.0|0|29363.0|0|25087.0|0|12111.0|0
