|dates|Harvey_Kansas_UnitedStates.JHU_ConfirmedCases.data|Harvey_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Harvey_Kansas_UnitedStates.NYT_ConfirmedCases.data|Harvey_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Harvey_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Harvey_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Harvey_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Harvey_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4863.0|0|4863.0|0|80.0|0|0.0|100
0|2021-10-18|4904.0|0|4904.0|0|80.0|0|0.0|100
0|2021-10-19|4904.0|0|4904.0|0|80.0|0|0.0|100
0|2021-10-20|4948.0|0|4948.0|0|80.0|0|0.0|100
0|2021-10-21|4948.0|0|4948.0|0|80.0|0|0.0|100
0|2021-10-22|4993.0|0|4993.0|0|80.0|0|0.0|100
0|2021-10-23|4993.0|0|4993.0|0|80.0|0|0.0|100
0|2021-10-24|4993.0|0|4993.0|0|80.0|0|0.0|100
0|2021-10-25|5032.0|0|5032.0|0|80.0|0|0.0|100
0|2021-10-26|5032.0|0|5032.0|0|80.0|0|0.0|100
0|2021-10-27|5071.0|0|5071.0|0|81.0|0|0.0|100
0|2021-10-28|5071.0|0|5071.0|0|81.0|0|0.0|100
0|2021-10-29|5107.0|0|5107.0|0|84.0|0|0.0|100
0|2021-10-30|5107.0|0|5107.0|0|84.0|0|0.0|100
0|2021-10-31|5107.0|0|5107.0|0|84.0|0|0.0|100
0|2021-11-01|5139.0|0|5139.0|0|84.0|0|0.0|100
0|2021-11-02|5139.0|0|5139.0|0|84.0|0|0.0|100
0|2021-11-03|5165.0|0|5165.0|0|84.0|0|0.0|100
0|2021-11-04|5165.0|0|5165.0|0|84.0|0|0.0|100
0|2021-11-05|5193.0|0|5193.0|0|87.0|0|0.0|100
0|2021-11-06|5193.0|0|5193.0|0|87.0|0|0.0|100
0|2021-11-07|5193.0|0|5193.0|0|87.0|0|0.0|100
0|2021-11-08|5210.0|0|5210.0|0|88.0|0|0.0|100
0|2021-11-09|5210.0|0|5210.0|0|88.0|0|0.0|100
0|2021-11-10|5210.0|0|5255.0|0|88.0|0|0.0|100
0|2021-11-11|5255.0|0|5255.0|0|91.0|0|0.0|100
0|2021-11-12|5280.0|0|5280.0|0|91.0|0|0.0|100
0|2021-11-13|5280.0|0|5280.0|0|91.0|0|0.0|100
0|2021-11-14|5280.0|0|5280.0|0|91.0|0|0.0|100
0|2021-11-15|5312.0|0|5312.0|0|92.0|0|0.0|100
0|2021-11-16|5312.0|0|5312.0|0|92.0|0|0.0|100
0|2021-11-17|5349.0|0|5349.0|0|91.0|0|0.0|100
0|2021-11-18|5349.0|0|5349.0|0|91.0|0|0.0|100
0|2021-11-19|5393.0|0|5393.0|0|91.0|0|0.0|100
0|2021-11-20|5393.0|0|5393.0|0|91.0|0|0.0|100
0|2021-11-21|5393.0|0|5393.0|0|91.0|0|0.0|100
0|2021-11-22|5433.0|0|5433.0|0|91.0|0|0.0|100
0|2021-11-23|5433.0|0|5433.0|0|91.0|0|0.0|100
0|2021-11-24|5433.0|0|5471.0|0|91.0|0|0.0|100
0|2021-11-25|5471.0|0|5471.0|0|91.0|0|0.0|100
0|2021-11-26|5471.0|0|5471.0|0|91.0|0|0.0|100
0|2021-11-27|5471.0|0|5471.0|0|91.0|0|0.0|100
0|2021-11-28|5471.0|0|5471.0|0|91.0|0|0.0|100
0|2021-11-29|5547.0|0|5547.0|0|91.0|0|0.0|100
0|2021-11-30|5547.0|0|5547.0|0|91.0|0|0.0|100
0|2021-12-01|5608.0|0|5608.0|0|91.0|0|0.0|100
0|2021-12-02|5608.0|0|5608.0|0|91.0|0|0.0|100
0|2021-12-03|5608.0|0|5687.0|0|91.0|0|0.0|100
0|2021-12-04|5687.0|0|5687.0|0|91.0|0|0.0|100
