|dates|Anderson_Kansas_UnitedStates.BLS_EmployedPopulation.data|Anderson_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Anderson_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Anderson_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Anderson_Kansas_UnitedStates.BLS_UnemploymentRate.data|Anderson_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Anderson_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Anderson_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-18|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-19|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-20|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-21|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-22|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-23|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-24|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-25|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-26|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-27|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-28|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-29|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-30|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-10-31|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-01|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-02|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-03|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-04|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-05|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-06|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-07|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-08|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-09|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-10|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-11|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-12|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-13|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-14|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-15|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-16|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-17|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-18|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-19|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-20|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-21|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-22|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-23|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-24|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-25|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-26|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-27|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
0|2021-11-28|4380.0|0|129.0|0|2.860944777112442|0|4509.0|0
