|dates|Cole_Missouri_UnitedStates.BLS_EmployedPopulation.data|Cole_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Cole_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Cole_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Cole_Missouri_UnitedStates.BLS_UnemploymentRate.data|Cole_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Cole_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Cole_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-18|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-19|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-20|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-21|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-22|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-23|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-24|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-25|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-26|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-27|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-28|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-29|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-30|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-10-31|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-11-01|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-11-02|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-11-03|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-11-04|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
0|2021-11-05|38555.0|0|1243.0|0|3.123272526257601|0|39798.0|0
