|dates|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Brunswick_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Brunswick_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15967.0|0|15967.0|0|230.0|0|0.0|100
0|2021-10-18|16040.0|0|16040.0|0|231.0|0|0.0|100
0|2021-10-19|16055.0|0|16055.0|0|232.0|0|0.0|100
0|2021-10-20|16090.0|0|16090.0|0|233.0|0|0.0|100
0|2021-10-21|16115.0|0|16115.0|0|233.0|0|0.0|100
0|2021-10-22|16149.0|0|16149.0|0|233.0|0|0.0|100
0|2021-10-23|16149.0|0|16149.0|0|233.0|0|0.0|100
0|2021-10-24|16149.0|0|16149.0|0|233.0|0|0.0|100
0|2021-10-25|16204.0|0|16204.0|0|234.0|0|0.0|100
0|2021-10-26|16218.0|0|16218.0|0|234.0|0|0.0|100
0|2021-10-27|16239.0|0|16239.0|0|236.0|0|0.0|100
0|2021-10-28|16265.0|0|16265.0|0|236.0|0|0.0|100
0|2021-10-29|16298.0|0|16298.0|0|238.0|0|0.0|100
0|2021-10-30|16298.0|0|16298.0|0|238.0|0|0.0|100
0|2021-10-31|16298.0|0|16298.0|0|238.0|0|0.0|100
0|2021-11-01|16342.0|0|16342.0|0|240.0|0|0.0|100
0|2021-11-02|16358.0|0|16358.0|0|240.0|0|0.0|100
0|2021-11-03|16375.0|0|16375.0|0|240.0|0|0.0|100
0|2021-11-04|16397.0|0|16397.0|0|240.0|0|0.0|100
0|2021-11-05|16409.0|0|16409.0|0|240.0|0|0.0|100
0|2021-11-06|16409.0|0|16409.0|0|240.0|0|0.0|100
0|2021-11-07|16409.0|0|16409.0|0|240.0|0|0.0|100
0|2021-11-08|16443.0|0|16443.0|0|241.0|0|0.0|100
0|2021-11-09|16465.0|0|16465.0|0|243.0|0|0.0|100
0|2021-11-10|16491.0|0|16491.0|0|243.0|0|0.0|100
0|2021-11-11|16491.0|0|16491.0|0|243.0|0|0.0|100
0|2021-11-12|16529.0|0|16529.0|0|243.0|0|0.0|100
0|2021-11-13|16529.0|0|16529.0|0|243.0|0|0.0|100
0|2021-11-14|16529.0|0|16529.0|0|243.0|0|0.0|100
0|2021-11-15|16588.0|0|16588.0|0|243.0|0|0.0|100
0|2021-11-16|16609.0|0|16609.0|0|243.0|0|0.0|100
0|2021-11-17|16632.0|0|16632.0|0|243.0|0|0.0|100
0|2021-11-18|16643.0|0|16643.0|0|243.0|0|0.0|100
0|2021-11-19|16661.0|0|16661.0|0|243.0|0|0.0|100
0|2021-11-20|16661.0|0|16661.0|0|243.0|0|0.0|100
0|2021-11-21|16661.0|0|16661.0|0|243.0|0|0.0|100
0|2021-11-22|16724.0|0|16724.0|0|244.0|0|0.0|100
0|2021-11-23|16743.0|0|16743.0|0|245.0|0|0.0|100
0|2021-11-24|16771.0|0|16771.0|0|245.0|0|0.0|100
0|2021-11-25|16771.0|0|16771.0|0|245.0|0|0.0|100
0|2021-11-26|16771.0|0|16771.0|0|245.0|0|0.0|100
0|2021-11-27|16771.0|0|16771.0|0|245.0|0|0.0|100
0|2021-11-28|16771.0|0|16771.0|0|245.0|0|0.0|100
0|2021-11-29|16857.0|0|16857.0|0|245.0|0|0.0|100
0|2021-11-30|16884.0|0|16884.0|0|245.0|0|0.0|100
0|2021-12-01|16926.0|0|16926.0|0|245.0|0|0.0|100
0|2021-12-02|16971.0|0|16971.0|0|246.0|0|0.0|100
0|2021-12-03|17026.0|0|17026.0|0|246.0|0|0.0|100
0|2021-12-04|17026.0|0|17026.0|0|246.0|0|0.0|100
0|2021-12-05|17026.0|0|17026.0|0|246.0|0|0.0|100
0|2021-12-06|17153.0|0|17153.0|0|246.0|0|0.0|100
0|2021-12-07|17200.0|0|17200.0|0|246.0|0|0.0|100
0|2021-12-08|17232.0|0|17232.0|0|246.0|0|0.0|100
0|2021-12-09|17282.0|0|17282.0|0|247.0|0|0.0|100
0|2021-12-10|17349.0|0|17349.0|0|247.0|0|0.0|100
0|2021-12-11|17349.0|0|17349.0|0|247.0|0|0.0|100
0|2021-12-12|17349.0|0|17349.0|0|247.0|0|0.0|100
0|2021-12-13|17435.0|0|17435.0|0|247.0|0|0.0|100
0|2021-12-14|17435.0|0|17468.0|0|247.0|0|0.0|100
0|2021-12-15|17509.0|0|17509.0|0|249.0|0|0.0|100
0|2021-12-16|17571.0|0|17571.0|0|250.0|0|0.0|100
0|2021-12-17|17625.0|0|17625.0|0|250.0|0|0.0|100
0|2021-12-18|17625.0|0|17625.0|0|250.0|0|0.0|100
0|2021-12-19|17625.0|0|17625.0|0|250.0|0|0.0|100
0|2021-12-20|17778.0|0|17778.0|0|251.0|0|0.0|100
0|2021-12-21|17818.0|0|17818.0|0|251.0|0|0.0|100
0|2021-12-22|17869.0|0|17869.0|0|252.0|0|0.0|100
0|2021-12-23|17869.0|0|17869.0|0|252.0|0|0.0|100
