|dates|ElDorado_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|ElDorado_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|ElDorado_California_UnitedStates.Male_Total_Population.data|ElDorado_California_UnitedStates.Male_Total_Population.missing|ElDorado_California_UnitedStates.Female_Total_Population.data|ElDorado_California_UnitedStates.Female_Total_Population.missing|ElDorado_California_UnitedStates.MaleAndFemale_Under18_Population.data|ElDorado_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-18|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-19|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-20|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-21|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-22|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-23|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-24|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-25|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-26|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-27|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-28|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-29|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-30|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-10-31|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-01|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-02|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-03|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-04|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-05|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-06|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-07|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-08|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-09|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-10|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-11|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-12|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-13|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-14|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-15|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-16|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-17|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-18|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-19|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-20|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-21|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-22|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-23|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-24|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-25|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-26|40389.0|0|95091.0|0|95587.0|0|37821.0|0
0|2021-11-27|40389.0|0|95091.0|0|95587.0|0|37821.0|0
