|dates|KansasCity_Missouri_UnitedStates.JHU_ConfirmedCases.data|KansasCity_Missouri_UnitedStates.JHU_ConfirmedCases.missing|KansasCity_Missouri_UnitedStates.NYT_ConfirmedCases.data|KansasCity_Missouri_UnitedStates.NYT_ConfirmedCases.missing|KansasCity_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|KansasCity_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|KansasCity_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|KansasCity_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|62633.0|0|62633.0|0|814.0|0|0.0|100
0|2021-10-18|62669.0|0|62669.0|0|814.0|0|0.0|100
0|2021-10-19|62725.0|0|62725.0|0|817.0|0|0.0|100
0|2021-10-20|62827.0|0|62827.0|0|817.0|0|0.0|100
0|2021-10-21|62898.0|0|62898.0|0|817.0|0|0.0|100
0|2021-10-22|62985.0|0|62985.0|0|817.0|0|0.0|100
0|2021-10-23|63075.0|0|63075.0|0|818.0|0|0.0|100
0|2021-10-24|63141.0|0|63141.0|0|818.0|0|0.0|100
0|2021-10-25|63189.0|0|63189.0|0|818.0|0|0.0|100
0|2021-10-26|63259.0|0|63259.0|0|822.0|0|0.0|100
0|2021-10-27|63365.0|0|63365.0|0|823.0|0|0.0|100
0|2021-10-28|63455.0|0|63455.0|0|823.0|0|0.0|100
0|2021-10-29|63554.0|0|63554.0|0|826.0|0|0.0|100
0|2021-10-30|63647.0|0|63647.0|0|827.0|0|0.0|100
0|2021-10-31|63718.0|0|63718.0|0|827.0|0|0.0|100
0|2021-11-01|63761.0|0|63761.0|0|827.0|0|0.0|100
0|2021-11-02|63803.0|0|63803.0|0|837.0|0|0.0|100
0|2021-11-03|63883.0|0|63883.0|0|839.0|0|0.0|100
0|2021-11-04|63969.0|0|63969.0|0|839.0|0|0.0|100
0|2021-11-05|64061.0|0|64061.0|0|839.0|0|0.0|100
0|2021-11-06|64164.0|0|64164.0|0|840.0|0|0.0|100
