|dates|Pierce_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pierce_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pierce_Wisconsin_UnitedStates.Male_Total_Population.data|Pierce_Wisconsin_UnitedStates.Male_Total_Population.missing|Pierce_Wisconsin_UnitedStates.Female_Total_Population.data|Pierce_Wisconsin_UnitedStates.Female_Total_Population.missing|Pierce_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Pierce_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-18|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-19|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-20|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-21|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-22|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-23|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-24|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-25|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-26|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-27|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-28|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-29|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-30|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-10-31|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-01|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-02|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-03|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-04|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-05|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-06|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-07|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-08|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-09|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-10|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-11|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-12|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-13|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-14|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-15|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-16|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-17|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-18|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-19|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-20|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-21|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-22|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-23|6214.0|0|21199.0|0|21356.0|0|8758.0|0
0|2021-11-24|6214.0|0|21199.0|0|21356.0|0|8758.0|0
