|dates|Jefferson_Colorado_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Colorado_UnitedStates.NYT_ConfirmedCases.data|Jefferson_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Jefferson_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|60831.0|0|60831.0|0|892.0|0|0.0|100
0|2021-10-18|61245.0|0|61245.0|0|896.0|0|0.0|100
0|2021-10-19|61392.0|0|61392.0|0|901.0|0|0.0|100
0|2021-10-20|61579.0|0|61579.0|0|903.0|0|0.0|100
0|2021-10-21|61832.0|0|61832.0|0|903.0|0|0.0|100
0|2021-10-22|62065.0|0|62065.0|0|903.0|0|0.0|100
0|2021-10-23|62065.0|0|62065.0|0|903.0|0|0.0|100
0|2021-10-24|62065.0|0|62065.0|0|903.0|0|0.0|100
0|2021-10-25|62833.0|0|62833.0|0|905.0|0|0.0|100
0|2021-10-26|63047.0|0|63047.0|0|912.0|0|0.0|100
0|2021-10-27|63310.0|0|63310.0|0|912.0|0|0.0|100
0|2021-10-28|63663.0|0|63663.0|0|913.0|0|0.0|100
0|2021-10-29|63978.0|0|63978.0|0|916.0|0|0.0|100
0|2021-10-30|63978.0|0|63978.0|0|916.0|0|0.0|100
0|2021-10-31|63978.0|0|63978.0|0|916.0|0|0.0|100
0|2021-11-01|64722.0|0|64722.0|0|917.0|0|0.0|100
0|2021-11-02|64916.0|0|64916.0|0|921.0|0|0.0|100
0|2021-11-03|65112.0|0|65112.0|0|924.0|0|0.0|100
0|2021-11-04|65440.0|0|65440.0|0|928.0|0|0.0|100
0|2021-11-05|65802.0|0|65802.0|0|933.0|0|0.0|100
0|2021-11-06|65802.0|0|65802.0|0|933.0|0|0.0|100
0|2021-11-07|65802.0|0|65802.0|0|933.0|0|0.0|100
