|dates|Macon_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Macon_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Macon_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Macon_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Macon_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Macon_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Macon_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Macon_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4867.0|0|4867.0|0|54.0|0|0.0|100
0|2021-10-18|4884.0|0|4884.0|0|54.0|0|0.0|100
0|2021-10-19|4890.0|0|4890.0|0|54.0|0|0.0|100
0|2021-10-20|4896.0|0|4896.0|0|54.0|0|0.0|100
0|2021-10-21|4911.0|0|4911.0|0|57.0|0|0.0|100
0|2021-10-22|4924.0|0|4924.0|0|67.0|0|0.0|100
0|2021-10-23|4924.0|0|4924.0|0|67.0|0|0.0|100
0|2021-10-24|4924.0|0|4924.0|0|67.0|0|0.0|100
0|2021-10-25|4939.0|0|4939.0|0|67.0|0|0.0|100
0|2021-10-26|4942.0|0|4942.0|0|67.0|0|0.0|100
0|2021-10-27|4951.0|0|4951.0|0|69.0|0|0.0|100
0|2021-10-28|4962.0|0|4962.0|0|69.0|0|0.0|100
0|2021-10-29|4970.0|0|4970.0|0|69.0|0|0.0|100
0|2021-10-30|4970.0|0|4970.0|0|69.0|0|0.0|100
0|2021-10-31|4970.0|0|4970.0|0|69.0|0|0.0|100
0|2021-11-01|4989.0|0|4989.0|0|71.0|0|0.0|100
0|2021-11-02|4993.0|0|4993.0|0|71.0|0|0.0|100
0|2021-11-03|5004.0|0|5004.0|0|71.0|0|0.0|100
0|2021-11-04|5012.0|0|5012.0|0|71.0|0|0.0|100
0|2021-11-05|5018.0|0|5018.0|0|71.0|0|0.0|100
0|2021-11-06|5018.0|0|5018.0|0|71.0|0|0.0|100
0|2021-11-07|5018.0|0|5018.0|0|71.0|0|0.0|100
0|2021-11-08|5037.0|0|5037.0|0|73.0|0|0.0|100
0|2021-11-09|5039.0|0|5039.0|0|73.0|0|0.0|100
0|2021-11-10|5039.0|0|5046.0|0|73.0|0|0.0|100
0|2021-11-11|5046.0|0|5046.0|0|74.0|0|0.0|100
0|2021-11-12|5057.0|0|5057.0|0|74.0|0|0.0|100
0|2021-11-13|5057.0|0|5057.0|0|74.0|0|0.0|100
0|2021-11-14|5057.0|0|5057.0|0|74.0|0|0.0|100
0|2021-11-15|5076.0|0|5076.0|0|74.0|0|0.0|100
0|2021-11-16|5079.0|0|5079.0|0|75.0|0|0.0|100
0|2021-11-17|5086.0|0|5086.0|0|75.0|0|0.0|100
0|2021-11-18|5092.0|0|5092.0|0|75.0|0|0.0|100
0|2021-11-19|5096.0|0|5096.0|0|77.0|0|0.0|100
0|2021-11-20|5096.0|0|5096.0|0|77.0|0|0.0|100
0|2021-11-21|5096.0|0|5096.0|0|77.0|0|0.0|100
0|2021-11-22|5104.0|0|5104.0|0|77.0|0|0.0|100
0|2021-11-23|5110.0|0|5110.0|0|77.0|0|0.0|100
0|2021-11-24|5111.0|0|5111.0|0|80.0|0|0.0|100
