|dates|Swift_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Swift_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Swift_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Swift_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Swift_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Swift_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Swift_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Swift_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1326.0|0|1326.0|0|19.0|0|0.0|100
0|2021-10-18|1328.0|0|1328.0|0|19.0|0|0.0|100
0|2021-10-19|1342.0|0|1342.0|0|19.0|0|0.0|100
0|2021-10-20|1343.0|0|1343.0|0|19.0|0|0.0|100
0|2021-10-21|1345.0|0|1345.0|0|19.0|0|0.0|100
0|2021-10-22|1346.0|0|1346.0|0|19.0|0|0.0|100
0|2021-10-23|1346.0|0|1346.0|0|19.0|0|0.0|100
0|2021-10-24|1346.0|0|1346.0|0|19.0|0|0.0|100
0|2021-10-25|1354.0|0|1354.0|0|19.0|0|0.0|100
0|2021-10-26|1375.0|0|1375.0|0|19.0|0|0.0|100
0|2021-10-27|1375.0|0|1375.0|0|19.0|0|0.0|100
0|2021-10-28|1390.0|0|1390.0|0|19.0|0|0.0|100
0|2021-10-29|1399.0|0|1399.0|0|19.0|0|0.0|100
0|2021-10-30|1399.0|0|1399.0|0|19.0|0|0.0|100
0|2021-10-31|1399.0|0|1399.0|0|19.0|0|0.0|100
0|2021-11-01|1419.0|0|1419.0|0|19.0|0|0.0|100
0|2021-11-02|1460.0|0|1460.0|0|19.0|0|0.0|100
0|2021-11-03|1467.0|0|1467.0|0|19.0|0|0.0|100
0|2021-11-04|1476.0|0|1476.0|0|19.0|0|0.0|100
0|2021-11-05|1488.0|0|1488.0|0|19.0|0|0.0|100
0|2021-11-06|1488.0|0|1488.0|0|19.0|0|0.0|100
0|2021-11-07|1488.0|0|1488.0|0|19.0|0|0.0|100
0|2021-11-08|1500.0|0|1500.0|0|20.0|0|0.0|100
0|2021-11-09|1521.0|0|1521.0|0|20.0|0|0.0|100
0|2021-11-10|1521.0|0|1536.0|0|20.0|0|0.0|100
0|2021-11-11|1548.0|0|1548.0|0|20.0|0|0.0|100
0|2021-11-12|1560.0|0|1560.0|0|20.0|0|0.0|100
0|2021-11-13|1560.0|0|1560.0|0|20.0|0|0.0|100
0|2021-11-14|1560.0|0|1560.0|0|20.0|0|0.0|100
0|2021-11-15|1581.0|0|1581.0|0|20.0|0|0.0|100
0|2021-11-16|1606.0|0|1606.0|0|21.0|0|0.0|100
0|2021-11-17|1613.0|0|1613.0|0|21.0|0|0.0|100
0|2021-11-18|1620.0|0|1620.0|0|21.0|0|0.0|100
0|2021-11-19|1635.0|0|1635.0|0|21.0|0|0.0|100
0|2021-11-20|1635.0|0|1635.0|0|21.0|0|0.0|100
0|2021-11-21|1635.0|0|1635.0|0|21.0|0|0.0|100
0|2021-11-22|1655.0|0|1655.0|0|22.0|0|0.0|100
0|2021-11-23|1678.0|0|1678.0|0|22.0|0|0.0|100
0|2021-11-24|1685.0|0|1685.0|0|22.0|0|0.0|100
0|2021-11-25|1685.0|0|1685.0|0|22.0|0|0.0|100
0|2021-11-26|1693.0|0|1693.0|0|22.0|0|0.0|100
0|2021-11-27|1693.0|0|1693.0|0|22.0|0|0.0|100
0|2021-11-28|1693.0|0|1693.0|0|22.0|0|0.0|100
0|2021-11-29|1705.0|0|1705.0|0|22.0|0|0.0|100
0|2021-11-30|1726.0|0|1726.0|0|22.0|0|0.0|100
0|2021-12-01|1731.0|0|1731.0|0|23.0|0|0.0|100
0|2021-12-02|1731.0|0|1734.0|0|23.0|0|0.0|100
0|2021-12-03|1741.0|0|1741.0|0|24.0|0|0.0|100
0|2021-12-04|1741.0|0|1741.0|0|24.0|0|0.0|100
0|2021-12-05|1741.0|0|1741.0|0|24.0|0|0.0|100
0|2021-12-06|1754.0|0|1754.0|0|24.0|0|0.0|100
0|2021-12-07|1780.0|0|1780.0|0|24.0|0|0.0|100
0|2021-12-08|1782.0|0|1782.0|0|24.0|0|0.0|100
0|2021-12-09|1787.0|0|1787.0|0|24.0|0|0.0|100
0|2021-12-10|1788.0|0|1788.0|0|24.0|0|0.0|100
0|2021-12-11|1788.0|0|1788.0|0|24.0|0|0.0|100
0|2021-12-12|1788.0|0|1788.0|0|24.0|0|0.0|100
0|2021-12-13|1794.0|0|1794.0|0|25.0|0|0.0|100
0|2021-12-14|1794.0|0|1801.0|0|25.0|0|0.0|100
0|2021-12-15|1802.0|0|1802.0|0|27.0|0|0.0|100
0|2021-12-16|1805.0|0|1805.0|0|28.0|0|0.0|100
0|2021-12-17|1806.0|0|1806.0|0|28.0|0|0.0|100
0|2021-12-18|1806.0|0|1806.0|0|28.0|0|0.0|100
0|2021-12-19|1806.0|0|1806.0|0|28.0|0|0.0|100
0|2021-12-20|1812.0|0|1812.0|0|29.0|0|0.0|100
0|2021-12-21|1818.0|0|1818.0|0|29.0|0|0.0|100
0|2021-12-22|1818.0|0|1818.0|0|29.0|0|0.0|100
0|2021-12-23|1820.0|0|1820.0|0|29.0|0|0.0|100
0|2021-12-24|1820.0|0|1820.0|0|29.0|0|0.0|100
0|2021-12-25|1820.0|0|1820.0|0|29.0|0|0.0|100
0|2021-12-26|1820.0|0|1820.0|0|29.0|0|0.0|100
0|2021-12-27|1823.0|0|1823.0|0|29.0|0|0.0|100
0|2021-12-28|1826.0|0|1826.0|0|29.0|0|0.0|100
0|2021-12-29|1828.0|0|1828.0|0|29.0|0|0.0|100
0|2021-12-30|1829.0|0|1829.0|0|29.0|0|0.0|100
0|2021-12-31|1829.0|0|1829.0|0|29.0|0|0.0|100
0|2022-01-01|1829.0|0|1829.0|0|29.0|0|0.0|100
0|2022-01-02|1829.0|0|1829.0|0|29.0|0|0.0|100
0|2022-01-03|1831.0|0|1831.0|0|30.0|0|0.0|100
0|2022-01-04|1834.0|0|1834.0|0|30.0|0|0.0|100
0|2022-01-05|1835.0|0|1835.0|0|30.0|0|0.0|100
0|2022-01-06|1839.0|0|1839.0|0|30.0|0|0.0|100
0|2022-01-07|1845.0|0|1845.0|0|30.0|0|0.0|100
0|2022-01-08|1845.0|0|1845.0|0|30.0|0|0.0|100
0|2022-01-09|1845.0|0|1845.0|0|30.0|0|0.0|100
0|2022-01-10|1847.0|0|1847.0|0|30.0|0|0.0|100
0|2022-01-11|1854.0|0|1854.0|0|30.0|0|0.0|100
0|2022-01-12|1855.0|0|1855.0|0|30.0|0|0.0|100
0|2022-01-13|1855.0|0|1856.0|0|30.0|0|0.0|100
0|2022-01-14|1872.0|0|1872.0|0|30.0|0|0.0|100
0|2022-01-15|1872.0|0|1872.0|0|30.0|0|0.0|100
0|2022-01-16|1872.0|0|1872.0|0|30.0|0|0.0|100
0|2022-01-17|1872.0|0|0.0|100|30.0|0|0.0|100
