|dates|Jefferson_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jefferson_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jefferson_Texas_UnitedStates.Male_Total_Population.data|Jefferson_Texas_UnitedStates.Male_Total_Population.missing|Jefferson_Texas_UnitedStates.Female_Total_Population.data|Jefferson_Texas_UnitedStates.Female_Total_Population.missing|Jefferson_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Jefferson_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-18|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-19|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-20|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-21|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-22|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-23|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-24|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-25|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-26|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-27|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-28|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-29|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-30|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-10-31|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-01|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-02|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-03|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-04|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-05|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-06|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-07|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-08|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-09|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-10|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-11|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-12|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-13|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-14|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-15|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-16|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-17|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-18|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-19|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-20|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-21|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-22|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-23|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-24|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-25|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-26|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-27|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-28|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-29|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-11-30|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-01|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-02|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-03|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-04|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-05|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-06|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-07|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-08|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-09|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-10|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-11|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-12|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-13|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-14|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-15|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-16|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-17|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-18|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-19|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-20|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-21|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-22|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-23|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-24|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-25|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-26|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-27|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-28|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-29|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-30|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2021-12-31|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-01|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-02|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-03|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-04|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-05|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-06|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-07|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-08|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-09|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-10|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-11|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-12|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-13|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-14|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-15|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-16|36809.0|0|130778.0|0|124223.0|0|61181.0|0
0|2022-01-17|36809.0|0|130778.0|0|124223.0|0|61181.0|0
