|dates|Fayette_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Fayette_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Fayette_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Fayette_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Fayette_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Fayette_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Fayette_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Fayette_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-18|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-19|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-20|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-21|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-22|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-23|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-24|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-25|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-26|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-27|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-28|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-29|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-30|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-10-31|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-01|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-02|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-03|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-04|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-05|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-06|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-07|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-08|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-09|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-10|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-11|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
0|2021-11-12|164379.0|0|5653.0|0|3.3246682977321917|0|170032.0|0
