|dates|Throckmorton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Throckmorton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Throckmorton_Texas_UnitedStates.Male_Total_Population.data|Throckmorton_Texas_UnitedStates.Male_Total_Population.missing|Throckmorton_Texas_UnitedStates.Female_Total_Population.data|Throckmorton_Texas_UnitedStates.Female_Total_Population.missing|Throckmorton_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Throckmorton_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-18|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-19|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-20|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-21|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-22|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-23|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-24|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-25|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-26|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-27|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-28|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-29|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-30|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-10-31|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-01|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-02|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-03|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-04|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-05|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-06|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-07|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-08|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-09|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-10|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-11|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-12|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-13|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-14|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-15|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-16|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-17|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-18|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-19|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-20|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-21|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-22|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-23|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-24|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-25|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-26|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-27|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-28|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-29|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-11-30|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-01|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-02|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-03|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-04|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-05|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-06|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-07|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-08|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-09|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-10|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-11|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-12|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-13|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-14|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-15|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-16|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-17|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-18|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-19|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-20|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-21|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-22|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-23|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-24|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-25|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-26|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-27|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-28|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-29|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-30|425.0|0|708.0|0|807.0|0|298.0|0
0|2021-12-31|425.0|0|708.0|0|807.0|0|298.0|0
