|dates|Metcalfe_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Metcalfe_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Metcalfe_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Metcalfe_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Metcalfe_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Metcalfe_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Metcalfe_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Metcalfe_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1868.0|0|1868.0|0|38.0|0|0.0|100
0|2021-10-18|1875.0|0|1875.0|0|42.0|0|0.0|100
0|2021-10-19|1878.0|0|1878.0|0|42.0|0|0.0|100
0|2021-10-20|1881.0|0|1881.0|0|42.0|0|0.0|100
0|2021-10-21|1883.0|0|1883.0|0|42.0|0|0.0|100
0|2021-10-22|1887.0|0|1887.0|0|42.0|0|0.0|100
0|2021-10-23|1887.0|0|1887.0|0|42.0|0|0.0|100
0|2021-10-24|1887.0|0|1887.0|0|42.0|0|0.0|100
0|2021-10-25|1894.0|0|1894.0|0|42.0|0|0.0|100
0|2021-10-26|1897.0|0|1897.0|0|42.0|0|0.0|100
0|2021-10-27|1905.0|0|1905.0|0|42.0|0|0.0|100
0|2021-10-28|1912.0|0|1912.0|0|42.0|0|0.0|100
0|2021-10-29|1917.0|0|1917.0|0|42.0|0|0.0|100
0|2021-10-30|1917.0|0|1917.0|0|42.0|0|0.0|100
0|2021-10-31|1917.0|0|1917.0|0|42.0|0|0.0|100
0|2021-11-01|1921.0|0|1921.0|0|43.0|0|0.0|100
0|2021-11-02|1924.0|0|1924.0|0|43.0|0|0.0|100
0|2021-11-03|1932.0|0|1932.0|0|43.0|0|0.0|100
0|2021-11-04|1934.0|0|1934.0|0|43.0|0|0.0|100
0|2021-11-05|1932.0|0|1932.0|0|43.0|0|0.0|100
0|2021-11-06|1932.0|0|1932.0|0|43.0|0|0.0|100
0|2021-11-07|1932.0|0|1932.0|0|43.0|0|0.0|100
0|2021-11-08|1933.0|0|1933.0|0|42.0|0|0.0|100
0|2021-11-09|1936.0|0|1936.0|0|42.0|0|0.0|100
0|2021-11-10|1941.0|0|1941.0|0|42.0|0|0.0|100
0|2021-11-11|1941.0|0|1941.0|0|42.0|0|0.0|100
0|2021-11-12|1944.0|0|1944.0|0|42.0|0|0.0|100
0|2021-11-13|1944.0|0|1944.0|0|42.0|0|0.0|100
0|2021-11-14|1944.0|0|1944.0|0|42.0|0|0.0|100
0|2021-11-15|1947.0|0|1947.0|0|42.0|0|0.0|100
0|2021-11-16|1955.0|0|1955.0|0|43.0|0|0.0|100
0|2021-11-17|1961.0|0|1961.0|0|43.0|0|0.0|100
0|2021-11-18|1965.0|0|1965.0|0|44.0|0|0.0|100
