|dates|Washington_Ohio_UnitedStates.JHU_ConfirmedCases.data|Washington_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Washington_Ohio_UnitedStates.NYT_ConfirmedCases.data|Washington_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Washington_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8017.0|0|8017.0|0|151.0|0|0.0|100
0|2021-10-18|8031.0|0|8031.0|0|151.0|0|0.0|100
0|2021-10-19|8038.0|0|8038.0|0|151.0|0|0.0|100
0|2021-10-20|8045.0|0|8045.0|0|151.0|0|0.0|100
0|2021-10-21|8066.0|0|8066.0|0|151.0|0|0.0|100
0|2021-10-22|8085.0|0|8085.0|0|151.0|0|0.0|100
0|2021-10-23|8093.0|0|8093.0|0|151.0|0|0.0|100
0|2021-10-24|8105.0|0|8105.0|0|151.0|0|0.0|100
0|2021-10-25|8114.0|0|8114.0|0|151.0|0|0.0|100
0|2021-10-26|8131.0|0|8131.0|0|151.0|0|0.0|100
0|2021-10-27|8142.0|0|8142.0|0|151.0|0|0.0|100
0|2021-10-28|8155.0|0|8155.0|0|151.0|0|0.0|100
0|2021-10-29|8163.0|0|8163.0|0|151.0|0|0.0|100
0|2021-10-30|8177.0|0|8177.0|0|151.0|0|0.0|100
0|2021-10-31|8182.0|0|8182.0|0|151.0|0|0.0|100
0|2021-11-01|8190.0|0|8190.0|0|151.0|0|0.0|100
0|2021-11-02|8209.0|0|8209.0|0|151.0|0|0.0|100
0|2021-11-03|8217.0|0|8217.0|0|151.0|0|0.0|100
0|2021-11-04|8230.0|0|8230.0|0|151.0|0|0.0|100
0|2021-11-05|8244.0|0|8244.0|0|151.0|0|0.0|100
0|2021-11-06|8250.0|0|8250.0|0|151.0|0|0.0|100
0|2021-11-07|8259.0|0|8259.0|0|151.0|0|0.0|100
0|2021-11-08|8271.0|0|8271.0|0|151.0|0|0.0|100
0|2021-11-09|8283.0|0|8283.0|0|152.0|0|0.0|100
0|2021-11-10|8283.0|0|8302.0|0|152.0|0|0.0|100
0|2021-11-11|8323.0|0|8323.0|0|152.0|0|0.0|100
0|2021-11-12|8333.0|0|8333.0|0|153.0|0|0.0|100
0|2021-11-13|8344.0|0|8344.0|0|153.0|0|0.0|100
0|2021-11-14|8352.0|0|8352.0|0|153.0|0|0.0|100
0|2021-11-15|8362.0|0|8362.0|0|153.0|0|0.0|100
0|2021-11-16|8378.0|0|8378.0|0|154.0|0|0.0|100
0|2021-11-17|8387.0|0|8387.0|0|154.0|0|0.0|100
0|2021-11-18|8408.0|0|8408.0|0|154.0|0|0.0|100
0|2021-11-19|8427.0|0|8427.0|0|155.0|0|0.0|100
0|2021-11-20|8442.0|0|8442.0|0|155.0|0|0.0|100
0|2021-11-21|8456.0|0|8456.0|0|155.0|0|0.0|100
0|2021-11-22|8473.0|0|8473.0|0|155.0|0|0.0|100
