|dates|Lea_NewMexico_UnitedStates.AveragePrecipitationTotal.data|Lea_NewMexico_UnitedStates.AveragePrecipitationTotal.missing|Lea_NewMexico_UnitedStates.AveragePrecipitation.data|Lea_NewMexico_UnitedStates.AveragePrecipitation.missing|Lea_NewMexico_UnitedStates.AverageWindDirection.data|Lea_NewMexico_UnitedStates.AverageWindDirection.missing|Lea_NewMexico_UnitedStates.AverageWindSpeed.data|Lea_NewMexico_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|124.53125|0|7.057291666666667|0
0|2021-10-18|0.0|0|0.0|0|130.78125|0|6.9375|0
0|2021-10-19|0.0|0|0.0|0|203.47222222222226|0|12.159722222222223|0
0|2021-10-20|0.0|0|0.0|0|148.38541666666666|0|6.703125|0
0|2021-10-21|0.0|0|0.0|0|104.89583333333333|0|6.213541666666667|0
0|2021-10-22|0.0|0|0.0|0|132.44791666666666|0|6.104166666666667|0
0|2021-10-23|0.0|0|0.0|0|198.38541666666666|0|11.807291666666666|0
0|2021-10-24|0.0|0|0.0|0|227.44791666666666|0|7.046875|0
0|2021-10-25|0.0|0|0.0|0|181.77083333333334|0|7.151041666666667|0
0|2021-10-26|0.0|0|0.0|0|214.6875|0|18.614583333333332|0
0|2021-10-27|0.0|0|0.0|0|304.2708333333333|0|18.53125|0
0|2021-10-28|0.0|0|0.0|0|255.41666666666666|0|8.510416666666666|0
0|2021-10-29|0.0|0|0.0|0|273.75|0|7.536458333333333|0
0|2021-10-30|0.0|0|0.0|0|252.03125|0|9.234375|0
0|2021-10-31|0.0|0|0.0|0|152.55208333333334|0|11.057291666666666|0
0|2021-11-01|0.0|0|0.0|0|99.58333333333333|0|6.234375|0
0|2021-11-02|0.0|0|0.0|0|71.09375|0|10.140625|0
0|2021-11-03|0.0|0|0.0|0|39.322916666666664|0|8.03125|0
0|2021-11-04|0.0|0|0.0|0|139.375|0|5.479166666666667|0
0|2021-11-05|0.0|0|0.0|0|161.14583333333334|0|7.109375|0
0|2021-11-06|0.0|0|0.0|0|153.125|0|4.885416666666667|0
0|2021-11-07|0.0|0|0.0|0|189.16666666666666|0|8.729166666666666|0
0|2021-11-08|0.0|0|0.0|0|208.07291666666666|0|7.942708333333333|0
0|2021-11-09|0.0|0|0.0|0|159.79166666666666|0|5.953125|0
0|2021-11-10|0.0|0|0.0|0|273.3854166666667|0|13.571180555555557|0
0|2021-11-11|0.0|0|0.0|0|143.75|0|7.875|0
0|2021-11-12|0.0|0|0.0|0|140.20833333333334|0|10.583333333333334|0
0|2021-11-13|0.0|0|0.0|0|209.77083333333334|0|10.234375|0
0|2021-11-14|0.0|0|0.0|0|193.64583333333334|0|9.416666666666666|0
0|2021-11-15|0.0|0|0.0|0|231.04166666666666|0|8.979166666666666|0
0|2021-11-16|0.0|0|0.0|0|251.19791666666666|0|13.5|0
0|2021-11-17|0.0|0|0.0|0|139.32291666666666|0|13.65625|0
0|2021-11-18|0.0|0|0.0|0|157.03125|0|8.828125|0
0|2021-11-19|0.0|0|0.0|0|182.23958333333334|0|9.802083333333334|0
0|2021-11-20|0.0|0|0.0|0|222.29166666666666|0|10.369791666666666|0
