|dates|Delaware_Iowa_UnitedStates.JHU_ConfirmedCases.data|Delaware_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Delaware_Iowa_UnitedStates.NYT_ConfirmedCases.data|Delaware_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Delaware_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2534.0|0|2538.0|0|44.0|0|0.0|100
0|2021-10-18|2534.0|0|2538.0|0|44.0|0|0.0|100
0|2021-10-19|2534.0|0|2538.0|0|44.0|0|0.0|100
0|2021-10-20|2585.0|0|2586.0|0|46.0|0|0.0|100
0|2021-10-21|2585.0|0|2586.0|0|46.0|0|0.0|100
0|2021-10-22|2585.0|0|2586.0|0|46.0|0|0.0|100
0|2021-10-23|2585.0|0|2586.0|0|46.0|0|0.0|100
0|2021-10-24|2585.0|0|2586.0|0|46.0|0|0.0|100
0|2021-10-25|2585.0|0|2586.0|0|46.0|0|0.0|100
0|2021-10-26|2585.0|0|2586.0|0|46.0|0|0.0|100
0|2021-10-27|2635.0|0|2636.0|0|49.0|0|0.0|100
0|2021-10-28|2635.0|0|2636.0|0|49.0|0|0.0|100
0|2021-10-29|2635.0|0|2636.0|0|49.0|0|0.0|100
0|2021-10-30|2635.0|0|2636.0|0|49.0|0|0.0|100
0|2021-10-31|2635.0|0|2636.0|0|49.0|0|0.0|100
0|2021-11-01|2635.0|0|2636.0|0|49.0|0|0.0|100
0|2021-11-02|2635.0|0|2636.0|0|49.0|0|0.0|100
0|2021-11-03|2701.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-04|2701.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-05|2701.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-06|2701.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-07|2701.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-08|2701.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-09|2701.0|0|2704.0|0|50.0|0|0.0|100
0|2021-11-10|2701.0|0|2782.0|0|50.0|0|0.0|100
0|2021-11-11|2764.0|0|2782.0|0|53.0|0|0.0|100
0|2021-11-12|2764.0|0|2782.0|0|53.0|0|0.0|100
0|2021-11-13|2764.0|0|2782.0|0|53.0|0|0.0|100
0|2021-11-14|2764.0|0|2782.0|0|53.0|0|0.0|100
