|dates|Penobscot_Maine_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Penobscot_Maine_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Penobscot_Maine_UnitedStates.Male_Total_Population.data|Penobscot_Maine_UnitedStates.Male_Total_Population.missing|Penobscot_Maine_UnitedStates.Female_Total_Population.data|Penobscot_Maine_UnitedStates.Female_Total_Population.missing|Penobscot_Maine_UnitedStates.MaleAndFemale_Under18_Population.data|Penobscot_Maine_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-18|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-19|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-20|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-21|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-22|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-23|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-24|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-25|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-26|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-27|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-28|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-29|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-30|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-10-31|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-01|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-02|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-03|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-04|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-05|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-06|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-07|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-08|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-09|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-10|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-11|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-12|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-13|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-14|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-15|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-16|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-17|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-18|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-19|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-20|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-21|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-22|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-23|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-24|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-25|28204.0|0|74754.0|0|76342.0|0|27394.0|0
0|2021-11-26|28204.0|0|74754.0|0|76342.0|0|27394.0|0
