|dates|Bastrop_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bastrop_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bastrop_Texas_UnitedStates.Male_Total_Population.data|Bastrop_Texas_UnitedStates.Male_Total_Population.missing|Bastrop_Texas_UnitedStates.Female_Total_Population.data|Bastrop_Texas_UnitedStates.Female_Total_Population.missing|Bastrop_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Bastrop_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-18|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-19|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-20|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-21|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-22|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-23|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-24|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-25|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-26|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-27|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-28|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-29|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-30|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-10-31|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-01|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-02|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-03|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-04|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-05|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-06|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-07|13211.0|0|44296.0|0|42680.0|0|22117.0|0
0|2021-11-08|13211.0|0|44296.0|0|42680.0|0|22117.0|0
