|dates|Morgan_Indiana_UnitedStates.JHU_ConfirmedCases.data|Morgan_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Indiana_UnitedStates.NYT_ConfirmedCases.data|Morgan_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Morgan_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9361.0|0|9380.0|0|176.0|0|0.0|100
0|2021-10-18|9404.0|0|9423.0|0|176.0|0|0.0|100
0|2021-10-19|9427.0|0|9446.0|0|176.0|0|0.0|100
0|2021-10-20|9438.0|0|9457.0|0|176.0|0|0.0|100
0|2021-10-21|9457.0|0|9476.0|0|176.0|0|0.0|100
0|2021-10-22|9472.0|0|9491.0|0|176.0|0|0.0|100
0|2021-10-23|9472.0|0|9491.0|0|176.0|0|0.0|100
0|2021-10-24|9472.0|0|9491.0|0|176.0|0|0.0|100
0|2021-10-25|9506.0|0|9525.0|0|177.0|0|0.0|100
0|2021-10-26|9512.0|0|9531.0|0|178.0|0|0.0|100
0|2021-10-27|9523.0|0|9542.0|0|179.0|0|0.0|100
0|2021-10-28|9535.0|0|9554.0|0|180.0|0|0.0|100
0|2021-10-29|9550.0|0|9569.0|0|181.0|0|0.0|100
0|2021-10-30|9550.0|0|9569.0|0|181.0|0|0.0|100
0|2021-10-31|9550.0|0|9569.0|0|181.0|0|0.0|100
0|2021-11-01|9587.0|0|9607.0|0|181.0|0|0.0|100
0|2021-11-02|9589.0|0|9609.0|0|182.0|0|0.0|100
0|2021-11-03|9602.0|0|9622.0|0|183.0|0|0.0|100
0|2021-11-04|9614.0|0|9634.0|0|183.0|0|0.0|100
0|2021-11-05|9631.0|0|9651.0|0|185.0|0|0.0|100
0|2021-11-06|9631.0|0|9651.0|0|185.0|0|0.0|100
0|2021-11-07|9631.0|0|9651.0|0|185.0|0|0.0|100
0|2021-11-08|9673.0|0|9693.0|0|185.0|0|0.0|100
0|2021-11-09|9696.0|0|9716.0|0|186.0|0|0.0|100
0|2021-11-10|9696.0|0|9736.0|0|186.0|0|0.0|100
0|2021-11-11|9777.0|0|9797.0|0|186.0|0|0.0|100
0|2021-11-12|9805.0|0|9825.0|0|186.0|0|0.0|100
0|2021-11-13|9805.0|0|9825.0|0|186.0|0|0.0|100
0|2021-11-14|9805.0|0|9825.0|0|186.0|0|0.0|100
0|2021-11-15|9850.0|0|9870.0|0|186.0|0|0.0|100
0|2021-11-16|9875.0|0|9895.0|0|186.0|0|0.0|100
