|dates|Greenlee_Arizona_UnitedStates.JHU_ConfirmedCases.data|Greenlee_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Greenlee_Arizona_UnitedStates.NYT_ConfirmedCases.data|Greenlee_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Greenlee_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Greenlee_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Greenlee_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Greenlee_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1037.0|0|1037.0|0|16.0|0|0.0|100
0|2021-10-18|1037.0|0|1037.0|0|16.0|0|0.0|100
0|2021-10-19|1048.0|0|1048.0|0|16.0|0|0.0|100
0|2021-10-20|1060.0|0|1060.0|0|16.0|0|0.0|100
0|2021-10-21|1064.0|0|1064.0|0|16.0|0|0.0|100
0|2021-10-22|1069.0|0|1069.0|0|16.0|0|0.0|100
0|2021-10-23|1073.0|0|1073.0|0|16.0|0|0.0|100
0|2021-10-24|1079.0|0|1079.0|0|16.0|0|0.0|100
0|2021-10-25|1083.0|0|1083.0|0|16.0|0|0.0|100
0|2021-10-26|1090.0|0|1090.0|0|16.0|0|0.0|100
0|2021-10-27|1099.0|0|1099.0|0|16.0|0|0.0|100
0|2021-10-28|1108.0|0|1108.0|0|16.0|0|0.0|100
0|2021-10-29|1115.0|0|1115.0|0|16.0|0|0.0|100
0|2021-10-30|1123.0|0|1123.0|0|16.0|0|0.0|100
0|2021-10-31|1128.0|0|1128.0|0|16.0|0|0.0|100
0|2021-11-01|1134.0|0|1134.0|0|16.0|0|0.0|100
0|2021-11-02|1144.0|0|1144.0|0|16.0|0|0.0|100
0|2021-11-03|1153.0|0|1153.0|0|16.0|0|0.0|100
0|2021-11-04|1163.0|0|1163.0|0|16.0|0|0.0|100
0|2021-11-05|1179.0|0|1179.0|0|16.0|0|0.0|100
0|2021-11-06|1190.0|0|1190.0|0|16.0|0|0.0|100
0|2021-11-07|1195.0|0|1195.0|0|16.0|0|0.0|100
0|2021-11-08|1203.0|0|1203.0|0|16.0|0|0.0|100
0|2021-11-09|1217.0|0|1217.0|0|16.0|0|0.0|100
0|2021-11-10|1217.0|0|1241.0|0|16.0|0|0.0|100
0|2021-11-11|1249.0|0|1249.0|0|16.0|0|0.0|100
0|2021-11-12|1264.0|0|1264.0|0|16.0|0|0.0|100
0|2021-11-13|1266.0|0|1266.0|0|16.0|0|0.0|100
0|2021-11-14|1274.0|0|1274.0|0|16.0|0|0.0|100
0|2021-11-15|1276.0|0|1276.0|0|16.0|0|0.0|100
0|2021-11-16|1282.0|0|1282.0|0|17.0|0|0.0|100
0|2021-11-17|1298.0|0|1298.0|0|17.0|0|0.0|100
0|2021-11-18|1307.0|0|1307.0|0|17.0|0|0.0|100
0|2021-11-19|1320.0|0|1320.0|0|18.0|0|0.0|100
0|2021-11-20|1322.0|0|1322.0|0|18.0|0|0.0|100
0|2021-11-21|1328.0|0|1328.0|0|18.0|0|0.0|100
0|2021-11-22|1331.0|0|1331.0|0|18.0|0|0.0|100
0|2021-11-23|1338.0|0|1338.0|0|19.0|0|0.0|100
0|2021-11-24|1341.0|0|1341.0|0|20.0|0|0.0|100
0|2021-11-25|1351.0|0|1351.0|0|20.0|0|0.0|100
0|2021-11-26|1355.0|0|1355.0|0|20.0|0|0.0|100
0|2021-11-27|1356.0|0|1356.0|0|21.0|0|0.0|100
0|2021-11-28|1356.0|0|1356.0|0|22.0|0|0.0|100
0|2021-11-29|1360.0|0|1360.0|0|22.0|0|0.0|100
0|2021-11-30|1360.0|0|1369.0|0|22.0|0|0.0|100
0|2021-12-01|1372.0|0|1372.0|0|22.0|0|0.0|100
0|2021-12-02|1378.0|0|1378.0|0|22.0|0|0.0|100
0|2021-12-03|1383.0|0|1383.0|0|22.0|0|0.0|100
0|2021-12-04|1385.0|0|1385.0|0|22.0|0|0.0|100
0|2021-12-05|1390.0|0|1390.0|0|22.0|0|0.0|100
0|2021-12-06|1394.0|0|1394.0|0|22.0|0|0.0|100
0|2021-12-07|1400.0|0|1400.0|0|23.0|0|0.0|100
0|2021-12-08|1399.0|0|1399.0|0|23.0|0|0.0|100
0|2021-12-09|1409.0|0|1409.0|0|23.0|0|0.0|100
0|2021-12-10|1410.0|0|1410.0|0|23.0|0|0.0|100
0|2021-12-11|1410.0|0|1410.0|0|23.0|0|0.0|100
0|2021-12-12|1418.0|0|1418.0|0|23.0|0|0.0|100
0|2021-12-13|1418.0|0|1421.0|0|23.0|0|0.0|100
0|2021-12-14|1418.0|0|1424.0|0|23.0|0|0.0|100
0|2021-12-15|1425.0|0|1425.0|0|23.0|0|0.0|100
0|2021-12-16|1429.0|0|1429.0|0|23.0|0|0.0|100
0|2021-12-17|1432.0|0|1432.0|0|25.0|0|0.0|100
0|2021-12-18|1432.0|0|1434.0|0|25.0|0|0.0|100
0|2021-12-19|1439.0|0|1439.0|0|24.0|0|0.0|100
0|2021-12-20|1443.0|0|1443.0|0|24.0|0|0.0|100
0|2021-12-21|1441.0|0|1441.0|0|26.0|0|0.0|100
0|2021-12-22|1444.0|0|1444.0|0|27.0|0|0.0|100
0|2021-12-23|1446.0|0|1446.0|0|27.0|0|0.0|100
0|2021-12-24|1446.0|0|1446.0|0|27.0|0|0.0|100
0|2021-12-25|1446.0|0|1456.0|0|27.0|0|0.0|100
0|2021-12-26|1456.0|0|1456.0|0|27.0|0|0.0|100
0|2021-12-27|1462.0|0|1462.0|0|27.0|0|0.0|100
0|2021-12-28|1462.0|0|1465.0|0|27.0|0|0.0|100
0|2021-12-29|1465.0|0|1476.0|0|27.0|0|0.0|100
0|2021-12-30|1476.0|0|1483.0|0|27.0|0|0.0|100
0|2021-12-31|1489.0|0|1489.0|0|27.0|0|0.0|100
0|2022-01-01|1498.0|0|1498.0|0|27.0|0|0.0|100
0|2022-01-02|1497.0|0|1497.0|0|27.0|0|0.0|100
0|2022-01-03|1499.0|0|1499.0|0|27.0|0|0.0|100
0|2022-01-04|1506.0|0|1506.0|0|27.0|0|0.0|100
0|2022-01-05|1516.0|0|1516.0|0|27.0|0|0.0|100
0|2022-01-06|1528.0|0|1528.0|0|27.0|0|0.0|100
0|2022-01-07|1543.0|0|1543.0|0|28.0|0|0.0|100
0|2022-01-08|1545.0|0|1545.0|0|29.0|0|0.0|100
0|2022-01-09|1545.0|0|1557.0|0|29.0|0|0.0|100
0|2022-01-10|1557.0|0|1557.0|0|30.0|0|0.0|100
