|dates|Darke_Ohio_UnitedStates.JHU_ConfirmedCases.data|Darke_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Darke_Ohio_UnitedStates.NYT_ConfirmedCases.data|Darke_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Darke_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Darke_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Darke_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Darke_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7536.0|0|7536.0|0|164.0|0|0.0|100
0|2021-10-18|7553.0|0|7553.0|0|165.0|0|0.0|100
0|2021-10-19|7572.0|0|7572.0|0|165.0|0|0.0|100
0|2021-10-20|7594.0|0|7594.0|0|165.0|0|0.0|100
0|2021-10-21|7618.0|0|7618.0|0|166.0|0|0.0|100
0|2021-10-22|7643.0|0|7643.0|0|167.0|0|0.0|100
0|2021-10-23|7689.0|0|7689.0|0|168.0|0|0.0|100
0|2021-10-24|7691.0|0|7691.0|0|168.0|0|0.0|100
0|2021-10-25|7695.0|0|7695.0|0|168.0|0|0.0|100
0|2021-10-26|7718.0|0|7718.0|0|168.0|0|0.0|100
0|2021-10-27|7749.0|0|7749.0|0|168.0|0|0.0|100
0|2021-10-28|7764.0|0|7764.0|0|168.0|0|0.0|100
0|2021-10-29|7775.0|0|7775.0|0|168.0|0|0.0|100
0|2021-10-30|7784.0|0|7784.0|0|168.0|0|0.0|100
0|2021-10-31|7784.0|0|7784.0|0|168.0|0|0.0|100
0|2021-11-01|7797.0|0|7797.0|0|168.0|0|0.0|100
0|2021-11-02|7814.0|0|7814.0|0|168.0|0|0.0|100
0|2021-11-03|7837.0|0|7837.0|0|168.0|0|0.0|100
0|2021-11-04|7856.0|0|7856.0|0|168.0|0|0.0|100
0|2021-11-05|7861.0|0|7861.0|0|168.0|0|0.0|100
0|2021-11-06|7879.0|0|7879.0|0|168.0|0|0.0|100
0|2021-11-07|7881.0|0|7881.0|0|168.0|0|0.0|100
0|2021-11-08|7892.0|0|7892.0|0|168.0|0|0.0|100
0|2021-11-09|7909.0|0|7909.0|0|170.0|0|0.0|100
0|2021-11-10|7909.0|0|7940.0|0|170.0|0|0.0|100
