|dates|DuPage_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|DuPage_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|DuPage_Illinois_UnitedStates.Male_Total_Population.data|DuPage_Illinois_UnitedStates.Male_Total_Population.missing|DuPage_Illinois_UnitedStates.Female_Total_Population.data|DuPage_Illinois_UnitedStates.Female_Total_Population.missing|DuPage_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|DuPage_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-18|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-19|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-20|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-21|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-22|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-23|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-24|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-25|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-26|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-27|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-28|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-29|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-30|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-10-31|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-01|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-02|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-03|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-04|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-05|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-06|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-07|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-08|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-09|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-10|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-11|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-12|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-13|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-14|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-15|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-16|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-17|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-18|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-19|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-20|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-21|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-22|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-23|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-24|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-25|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-26|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-27|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-28|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-29|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-11-30|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-12-01|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-12-02|143938.0|0|456211.0|0|472378.0|0|210552.0|0
0|2021-12-03|143938.0|0|456211.0|0|472378.0|0|210552.0|0
