|dates|Natrona_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Natrona_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Natrona_Wyoming_UnitedStates.NYT_ConfirmedCases.data|Natrona_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|Natrona_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Natrona_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Natrona_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Natrona_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|13780.0|0|13780.0|0|165.0|0|0.0|100
0|2021-10-18|13961.0|0|13961.0|0|165.0|0|0.0|100
0|2021-10-19|14047.0|0|14047.0|0|174.0|0|0.0|100
0|2021-10-20|14105.0|0|14105.0|0|174.0|0|0.0|100
0|2021-10-21|14234.0|0|14234.0|0|174.0|0|0.0|100
0|2021-10-22|14305.0|0|14305.0|0|174.0|0|0.0|100
0|2021-10-23|14305.0|0|14305.0|0|174.0|0|0.0|100
0|2021-10-24|14305.0|0|14305.0|0|174.0|0|0.0|100
0|2021-10-25|14494.0|0|14494.0|0|174.0|0|0.0|100
0|2021-10-26|14550.0|0|14550.0|0|177.0|0|0.0|100
0|2021-10-27|14636.0|0|14636.0|0|177.0|0|0.0|100
0|2021-10-28|14733.0|0|14733.0|0|177.0|0|0.0|100
0|2021-10-29|14833.0|0|14833.0|0|177.0|0|0.0|100
0|2021-10-30|14833.0|0|14833.0|0|177.0|0|0.0|100
0|2021-10-31|14833.0|0|14833.0|0|177.0|0|0.0|100
0|2021-11-01|14940.0|0|14940.0|0|177.0|0|0.0|100
0|2021-11-02|15009.0|0|15009.0|0|187.0|0|0.0|100
0|2021-11-03|15085.0|0|15085.0|0|187.0|0|0.0|100
0|2021-11-04|15194.0|0|15194.0|0|187.0|0|0.0|100
0|2021-11-05|15262.0|0|15262.0|0|187.0|0|0.0|100
0|2021-11-06|15262.0|0|15262.0|0|187.0|0|0.0|100
0|2021-11-07|15262.0|0|15262.0|0|187.0|0|0.0|100
0|2021-11-08|15384.0|0|15384.0|0|187.0|0|0.0|100
0|2021-11-09|15478.0|0|15478.0|0|196.0|0|0.0|100
0|2021-11-10|15478.0|0|15530.0|0|196.0|0|0.0|100
0|2021-11-11|15530.0|0|15530.0|0|196.0|0|0.0|100
0|2021-11-12|15658.0|0|15658.0|0|196.0|0|0.0|100
0|2021-11-13|15658.0|0|15658.0|0|196.0|0|0.0|100
0|2021-11-14|15658.0|0|15658.0|0|196.0|0|0.0|100
0|2021-11-15|15789.0|0|15789.0|0|196.0|0|0.0|100
0|2021-11-16|15858.0|0|15858.0|0|202.0|0|0.0|100
0|2021-11-17|15899.0|0|15899.0|0|202.0|0|0.0|100
0|2021-11-18|15987.0|0|15987.0|0|202.0|0|0.0|100
0|2021-11-19|16021.0|0|16021.0|0|202.0|0|0.0|100
0|2021-11-20|16021.0|0|16021.0|0|202.0|0|0.0|100
0|2021-11-21|16021.0|0|16021.0|0|202.0|0|0.0|100
0|2021-11-22|16065.0|0|16065.0|0|202.0|0|0.0|100
0|2021-11-23|16109.0|0|16109.0|0|202.0|0|0.0|100
0|2021-11-24|16152.0|0|16152.0|0|202.0|0|0.0|100
0|2021-11-25|16152.0|0|16152.0|0|202.0|0|0.0|100
0|2021-11-26|16152.0|0|16152.0|0|202.0|0|0.0|100
0|2021-11-27|16152.0|0|16152.0|0|202.0|0|0.0|100
0|2021-11-28|16152.0|0|16152.0|0|202.0|0|0.0|100
0|2021-11-29|16219.0|0|16219.0|0|203.0|0|0.0|100
0|2021-11-30|16274.0|0|16274.0|0|220.0|0|0.0|100
0|2021-12-01|16302.0|0|16302.0|0|220.0|0|0.0|100
0|2021-12-02|16344.0|0|16344.0|0|220.0|0|0.0|100
0|2021-12-03|16374.0|0|16374.0|0|219.0|0|0.0|100
0|2021-12-04|16374.0|0|16374.0|0|219.0|0|0.0|100
0|2021-12-05|16374.0|0|16374.0|0|219.0|0|0.0|100
0|2021-12-06|16435.0|0|16435.0|0|219.0|0|0.0|100
0|2021-12-07|16467.0|0|16467.0|0|230.0|0|0.0|100
