|dates|Delta_Texas_UnitedStates.JHU_ConfirmedCases.data|Delta_Texas_UnitedStates.JHU_ConfirmedCases.missing|Delta_Texas_UnitedStates.NYT_ConfirmedCases.data|Delta_Texas_UnitedStates.NYT_ConfirmedCases.missing|Delta_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Delta_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Delta_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Delta_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|599.0|0|599.0|0|20.0|0|0.0|100
0|2021-10-18|599.0|0|599.0|0|20.0|0|0.0|100
0|2021-10-19|601.0|0|601.0|0|20.0|0|0.0|100
0|2021-10-20|603.0|0|603.0|0|20.0|0|0.0|100
0|2021-10-21|603.0|0|603.0|0|20.0|0|0.0|100
0|2021-10-22|606.0|0|606.0|0|20.0|0|0.0|100
0|2021-10-23|606.0|0|606.0|0|21.0|0|0.0|100
0|2021-10-24|607.0|0|607.0|0|21.0|0|0.0|100
0|2021-10-25|607.0|0|607.0|0|21.0|0|0.0|100
0|2021-10-26|610.0|0|610.0|0|21.0|0|0.0|100
0|2021-10-27|612.0|0|612.0|0|21.0|0|0.0|100
0|2021-10-28|612.0|0|612.0|0|21.0|0|0.0|100
0|2021-10-29|612.0|0|612.0|0|21.0|0|0.0|100
0|2021-10-30|614.0|0|614.0|0|21.0|0|0.0|100
0|2021-10-31|614.0|0|614.0|0|21.0|0|0.0|100
0|2021-11-01|614.0|0|614.0|0|21.0|0|0.0|100
0|2021-11-02|615.0|0|615.0|0|21.0|0|0.0|100
0|2021-11-03|615.0|0|615.0|0|21.0|0|0.0|100
0|2021-11-04|619.0|0|619.0|0|21.0|0|0.0|100
0|2021-11-05|619.0|0|619.0|0|21.0|0|0.0|100
0|2021-11-06|621.0|0|621.0|0|21.0|0|0.0|100
0|2021-11-07|621.0|0|621.0|0|21.0|0|0.0|100
0|2021-11-08|621.0|0|621.0|0|21.0|0|0.0|100
0|2021-11-09|622.0|0|622.0|0|21.0|0|0.0|100
0|2021-11-10|622.0|0|622.0|0|21.0|0|0.0|100
0|2021-11-11|624.0|0|624.0|0|22.0|0|0.0|100
0|2021-11-12|624.0|0|624.0|0|22.0|0|0.0|100
0|2021-11-13|625.0|0|625.0|0|22.0|0|0.0|100
0|2021-11-14|625.0|0|625.0|0|22.0|0|0.0|100
0|2021-11-15|625.0|0|625.0|0|22.0|0|0.0|100
0|2021-11-16|625.0|0|625.0|0|22.0|0|0.0|100
0|2021-11-17|625.0|0|625.0|0|22.0|0|0.0|100
0|2021-11-18|625.0|0|625.0|0|22.0|0|0.0|100
0|2021-11-19|625.0|0|625.0|0|22.0|0|0.0|100
0|2021-11-20|628.0|0|628.0|0|22.0|0|0.0|100
0|2021-11-21|628.0|0|628.0|0|22.0|0|0.0|100
0|2021-11-22|628.0|0|628.0|0|22.0|0|0.0|100
0|2021-11-23|631.0|0|631.0|0|22.0|0|0.0|100
0|2021-11-24|634.0|0|634.0|0|22.0|0|0.0|100
0|2021-11-25|634.0|0|634.0|0|22.0|0|0.0|100
0|2021-11-26|634.0|0|634.0|0|22.0|0|0.0|100
0|2021-11-27|634.0|0|634.0|0|22.0|0|0.0|100
0|2021-11-28|634.0|0|634.0|0|22.0|0|0.0|100
0|2021-11-29|635.0|0|635.0|0|22.0|0|0.0|100
0|2021-11-30|641.0|0|641.0|0|22.0|0|0.0|100
0|2021-12-01|643.0|0|643.0|0|22.0|0|0.0|100
0|2021-12-02|643.0|0|643.0|0|22.0|0|0.0|100
0|2021-12-03|643.0|0|643.0|0|22.0|0|0.0|100
0|2021-12-04|644.0|0|644.0|0|22.0|0|0.0|100
0|2021-12-05|644.0|0|646.0|0|22.0|0|0.0|100
0|2021-12-06|652.0|0|652.0|0|22.0|0|0.0|100
0|2021-12-07|653.0|0|653.0|0|22.0|0|0.0|100
0|2021-12-08|658.0|0|658.0|0|22.0|0|0.0|100
0|2021-12-09|662.0|0|662.0|0|22.0|0|0.0|100
0|2021-12-10|668.0|0|668.0|0|22.0|0|0.0|100
0|2021-12-11|672.0|0|672.0|0|22.0|0|0.0|100
0|2021-12-12|672.0|0|672.0|0|22.0|0|0.0|100
0|2021-12-13|674.0|0|674.0|0|22.0|0|0.0|100
0|2021-12-14|674.0|0|681.0|0|22.0|0|0.0|100
0|2021-12-15|686.0|0|686.0|0|22.0|0|0.0|100
0|2021-12-16|696.0|0|696.0|0|22.0|0|0.0|100
0|2021-12-17|697.0|0|697.0|0|22.0|0|0.0|100
0|2021-12-18|698.0|0|698.0|0|22.0|0|0.0|100
0|2021-12-19|701.0|0|701.0|0|22.0|0|0.0|100
0|2021-12-20|701.0|0|701.0|0|22.0|0|0.0|100
0|2021-12-21|725.0|0|725.0|0|22.0|0|0.0|100
0|2021-12-22|726.0|0|726.0|0|22.0|0|0.0|100
0|2021-12-23|728.0|0|728.0|0|22.0|0|0.0|100
0|2021-12-24|728.0|0|728.0|0|22.0|0|0.0|100
0|2021-12-25|728.0|0|728.0|0|22.0|0|0.0|100
0|2021-12-26|728.0|0|728.0|0|22.0|0|0.0|100
0|2021-12-27|731.0|0|731.0|0|22.0|0|0.0|100
0|2021-12-28|734.0|0|734.0|0|22.0|0|0.0|100
0|2021-12-29|734.0|0|734.0|0|22.0|0|0.0|100
0|2021-12-30|736.0|0|736.0|0|22.0|0|0.0|100
0|2021-12-31|736.0|0|736.0|0|22.0|0|0.0|100
0|2022-01-01|736.0|0|736.0|0|22.0|0|0.0|100
0|2022-01-02|736.0|0|736.0|0|22.0|0|0.0|100
0|2022-01-03|770.0|0|770.0|0|22.0|0|0.0|100
0|2022-01-04|776.0|0|776.0|0|22.0|0|0.0|100
0|2022-01-05|782.0|0|782.0|0|22.0|0|0.0|100
0|2022-01-06|794.0|0|794.0|0|22.0|0|0.0|100
0|2022-01-07|801.0|0|801.0|0|22.0|0|0.0|100
0|2022-01-08|804.0|0|804.0|0|22.0|0|0.0|100
0|2022-01-09|805.0|0|805.0|0|22.0|0|0.0|100
0|2022-01-10|811.0|0|811.0|0|22.0|0|0.0|100
0|2022-01-11|824.0|0|824.0|0|22.0|0|0.0|100
0|2022-01-12|839.0|0|839.0|0|22.0|0|0.0|100
0|2022-01-13|839.0|0|856.0|0|22.0|0|0.0|100
0|2022-01-14|856.0|0|1490.0|0|22.0|0|0.0|100
0|2022-01-15|1507.0|0|1507.0|0|22.0|0|0.0|100
0|2022-01-16|1510.0|0|1510.0|0|22.0|0|0.0|100
0|2022-01-17|1528.0|0|0.0|100|22.0|0|0.0|100
