|dates|Simpson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Simpson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Simpson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Simpson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Simpson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Simpson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Simpson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Simpson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3145.0|0|3145.0|0|50.0|0|0.0|100
0|2021-10-18|3154.0|0|3154.0|0|51.0|0|0.0|100
0|2021-10-19|3159.0|0|3159.0|0|52.0|0|0.0|100
0|2021-10-20|3170.0|0|3170.0|0|53.0|0|0.0|100
0|2021-10-21|3175.0|0|3175.0|0|53.0|0|0.0|100
0|2021-10-22|3176.0|0|3176.0|0|53.0|0|0.0|100
0|2021-10-23|3176.0|0|3176.0|0|53.0|0|0.0|100
0|2021-10-24|3176.0|0|3176.0|0|53.0|0|0.0|100
0|2021-10-25|3180.0|0|3180.0|0|55.0|0|0.0|100
0|2021-10-26|3183.0|0|3183.0|0|55.0|0|0.0|100
0|2021-10-27|3191.0|0|3191.0|0|55.0|0|0.0|100
0|2021-10-28|3195.0|0|3195.0|0|56.0|0|0.0|100
0|2021-10-29|3204.0|0|3204.0|0|56.0|0|0.0|100
0|2021-10-30|3204.0|0|3204.0|0|56.0|0|0.0|100
0|2021-10-31|3204.0|0|3204.0|0|56.0|0|0.0|100
0|2021-11-01|3212.0|0|3212.0|0|56.0|0|0.0|100
0|2021-11-02|3213.0|0|3213.0|0|56.0|0|0.0|100
0|2021-11-03|3216.0|0|3216.0|0|56.0|0|0.0|100
0|2021-11-04|3217.0|0|3217.0|0|56.0|0|0.0|100
0|2021-11-05|3226.0|0|3226.0|0|56.0|0|0.0|100
0|2021-11-06|3226.0|0|3226.0|0|56.0|0|0.0|100
0|2021-11-07|3226.0|0|3226.0|0|56.0|0|0.0|100
0|2021-11-08|3237.0|0|3237.0|0|60.0|0|0.0|100
0|2021-11-09|3246.0|0|3246.0|0|60.0|0|0.0|100
0|2021-11-10|3246.0|0|3261.0|0|60.0|0|0.0|100
0|2021-11-11|3261.0|0|3261.0|0|60.0|0|0.0|100
0|2021-11-12|3275.0|0|3275.0|0|60.0|0|0.0|100
0|2021-11-13|3275.0|0|3275.0|0|60.0|0|0.0|100
0|2021-11-14|3275.0|0|3275.0|0|60.0|0|0.0|100
0|2021-11-15|3288.0|0|3288.0|0|61.0|0|0.0|100
0|2021-11-16|3299.0|0|3299.0|0|61.0|0|0.0|100
0|2021-11-17|3311.0|0|3311.0|0|61.0|0|0.0|100
