|dates|Rich_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Rich_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Rich_Utah_UnitedStates.Male_Total_Population.data|Rich_Utah_UnitedStates.Male_Total_Population.missing|Rich_Utah_UnitedStates.Female_Total_Population.data|Rich_Utah_UnitedStates.Female_Total_Population.missing|Rich_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|Rich_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-18|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-19|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-20|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-21|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-22|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-23|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-24|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-25|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-26|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-27|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-28|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-29|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-30|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-10-31|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-01|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-02|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-03|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-04|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-05|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-06|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-07|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-08|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-09|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-10|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-11|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-12|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-13|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-14|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-15|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-16|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-17|443.0|0|1268.0|0|1196.0|0|716.0|0
