|dates|Grant_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Grant_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Grant_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Grant_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Grant_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Grant_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|307.0|0|307.0|0|7.0|0|0.0|100
0|2021-10-18|307.0|0|307.0|0|7.0|0|0.0|100
0|2021-10-19|313.0|0|313.0|0|7.0|0|0.0|100
0|2021-10-20|315.0|0|315.0|0|7.0|0|0.0|100
0|2021-10-21|316.0|0|316.0|0|7.0|0|0.0|100
0|2021-10-22|319.0|0|319.0|0|7.0|0|0.0|100
0|2021-10-23|320.0|0|320.0|0|7.0|0|0.0|100
0|2021-10-24|322.0|0|322.0|0|7.0|0|0.0|100
0|2021-10-25|322.0|0|322.0|0|7.0|0|0.0|100
0|2021-10-26|322.0|0|322.0|0|7.0|0|0.0|100
0|2021-10-27|322.0|0|322.0|0|7.0|0|0.0|100
0|2021-10-28|323.0|0|323.0|0|7.0|0|0.0|100
0|2021-10-29|323.0|0|323.0|0|7.0|0|0.0|100
0|2021-10-30|325.0|0|325.0|0|7.0|0|0.0|100
0|2021-10-31|325.0|0|325.0|0|7.0|0|0.0|100
0|2021-11-01|325.0|0|325.0|0|7.0|0|0.0|100
0|2021-11-02|330.0|0|330.0|0|7.0|0|0.0|100
0|2021-11-03|334.0|0|334.0|0|7.0|0|0.0|100
0|2021-11-04|334.0|0|334.0|0|7.0|0|0.0|100
0|2021-11-05|334.0|0|334.0|0|7.0|0|0.0|100
0|2021-11-06|334.0|0|334.0|0|7.0|0|0.0|100
0|2021-11-07|335.0|0|335.0|0|7.0|0|0.0|100
0|2021-11-08|335.0|0|335.0|0|7.0|0|0.0|100
0|2021-11-09|336.0|0|336.0|0|7.0|0|0.0|100
0|2021-11-10|336.0|0|339.0|0|7.0|0|0.0|100
0|2021-11-11|338.0|0|338.0|0|7.0|0|0.0|100
0|2021-11-12|339.0|0|339.0|0|7.0|0|0.0|100
0|2021-11-13|339.0|0|339.0|0|7.0|0|0.0|100
0|2021-11-14|339.0|0|339.0|0|7.0|0|0.0|100
0|2021-11-15|339.0|0|339.0|0|7.0|0|0.0|100
0|2021-11-16|343.0|0|343.0|0|8.0|0|0.0|100
0|2021-11-17|345.0|0|345.0|0|8.0|0|0.0|100
0|2021-11-18|345.0|0|345.0|0|8.0|0|0.0|100
0|2021-11-19|345.0|0|345.0|0|8.0|0|0.0|100
0|2021-11-20|348.0|0|348.0|0|8.0|0|0.0|100
