|dates|Frederick_Virginia_UnitedStates.JHU_ConfirmedCases.data|Frederick_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Frederick_Virginia_UnitedStates.NYT_ConfirmedCases.data|Frederick_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Frederick_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Frederick_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Frederick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Frederick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11285.0|0|11285.0|0|138.0|0|0.0|100
0|2021-10-18|11364.0|0|11364.0|0|139.0|0|0.0|100
0|2021-10-19|11398.0|0|11398.0|0|139.0|0|0.0|100
0|2021-10-20|11422.0|0|11422.0|0|140.0|0|0.0|100
0|2021-10-21|11440.0|0|11440.0|0|141.0|0|0.0|100
0|2021-10-22|11457.0|0|11457.0|0|146.0|0|0.0|100
0|2021-10-23|11457.0|0|11457.0|0|146.0|0|0.0|100
0|2021-10-24|11457.0|0|11457.0|0|146.0|0|0.0|100
0|2021-10-25|11520.0|0|11520.0|0|148.0|0|0.0|100
0|2021-10-26|11536.0|0|11536.0|0|148.0|0|0.0|100
0|2021-10-27|11559.0|0|11559.0|0|150.0|0|0.0|100
0|2021-10-28|11592.0|0|11592.0|0|150.0|0|0.0|100
0|2021-10-29|11606.0|0|11606.0|0|149.0|0|0.0|100
0|2021-10-30|11606.0|0|11606.0|0|149.0|0|0.0|100
0|2021-10-31|11606.0|0|11606.0|0|149.0|0|0.0|100
0|2021-11-01|11642.0|0|11642.0|0|150.0|0|0.0|100
0|2021-11-02|11661.0|0|11661.0|0|150.0|0|0.0|100
0|2021-11-03|11677.0|0|11677.0|0|150.0|0|0.0|100
0|2021-11-04|11700.0|0|11700.0|0|151.0|0|0.0|100
0|2021-11-05|11722.0|0|11722.0|0|151.0|0|0.0|100
0|2021-11-06|11722.0|0|11722.0|0|151.0|0|0.0|100
0|2021-11-07|11722.0|0|11722.0|0|151.0|0|0.0|100
0|2021-11-08|11784.0|0|11784.0|0|151.0|0|0.0|100
0|2021-11-09|11806.0|0|11806.0|0|151.0|0|0.0|100
0|2021-11-10|11806.0|0|11824.0|0|151.0|0|0.0|100
0|2021-11-11|11850.0|0|11850.0|0|153.0|0|0.0|100
0|2021-11-12|11868.0|0|11868.0|0|153.0|0|0.0|100
0|2021-11-13|11868.0|0|11868.0|0|153.0|0|0.0|100
0|2021-11-14|11868.0|0|11868.0|0|153.0|0|0.0|100
0|2021-11-15|11914.0|0|11914.0|0|155.0|0|0.0|100
0|2021-11-16|11946.0|0|11946.0|0|155.0|0|0.0|100
0|2021-11-17|12011.0|0|12011.0|0|156.0|0|0.0|100
0|2021-11-18|12054.0|0|12054.0|0|158.0|0|0.0|100
0|2021-11-19|12094.0|0|12094.0|0|158.0|0|0.0|100
0|2021-11-20|12094.0|0|12094.0|0|158.0|0|0.0|100
0|2021-11-21|12094.0|0|12094.0|0|158.0|0|0.0|100
0|2021-11-22|12187.0|0|12187.0|0|158.0|0|0.0|100
0|2021-11-23|12220.0|0|12220.0|0|158.0|0|0.0|100
0|2021-11-24|12257.0|0|12257.0|0|160.0|0|0.0|100
0|2021-11-25|12301.0|0|12301.0|0|160.0|0|0.0|100
0|2021-11-26|12321.0|0|12321.0|0|161.0|0|0.0|100
0|2021-11-27|12321.0|0|12321.0|0|161.0|0|0.0|100
0|2021-11-28|12321.0|0|12321.0|0|161.0|0|0.0|100
0|2021-11-29|12422.0|0|12422.0|0|161.0|0|0.0|100
0|2021-11-30|12455.0|0|12455.0|0|164.0|0|0.0|100
0|2021-12-01|12503.0|0|12503.0|0|164.0|0|0.0|100
0|2021-12-02|12542.0|0|12542.0|0|164.0|0|0.0|100
0|2021-12-03|12611.0|0|12611.0|0|164.0|0|0.0|100
0|2021-12-04|12611.0|0|12611.0|0|164.0|0|0.0|100
0|2021-12-05|12611.0|0|12611.0|0|164.0|0|0.0|100
0|2021-12-06|12747.0|0|12747.0|0|164.0|0|0.0|100
0|2021-12-07|12796.0|0|12796.0|0|164.0|0|0.0|100
0|2021-12-08|12880.0|0|12880.0|0|164.0|0|0.0|100
0|2021-12-09|12951.0|0|12951.0|0|165.0|0|0.0|100
0|2021-12-10|13035.0|0|13035.0|0|165.0|0|0.0|100
0|2021-12-11|13035.0|0|13035.0|0|165.0|0|0.0|100
0|2021-12-12|13035.0|0|13035.0|0|165.0|0|0.0|100
0|2021-12-13|13210.0|0|13210.0|0|167.0|0|0.0|100
