|dates|Deschutes_Oregon_UnitedStates.JHU_ConfirmedCases.data|Deschutes_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Deschutes_Oregon_UnitedStates.NYT_ConfirmedCases.data|Deschutes_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Deschutes_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Deschutes_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Deschutes_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Deschutes_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|25277.0|0|25277.0|0|214.0|0|0.0|100
0|2021-12-28|25458.0|0|25458.0|0|215.0|0|0.0|100
0|2021-12-29|25782.0|0|25782.0|0|215.0|0|0.0|100
0|2021-12-30|26067.0|0|26067.0|0|215.0|0|0.0|100
0|2021-12-31|26067.0|0|26067.0|0|215.0|0|0.0|100
0|2022-01-01|26067.0|0|26067.0|0|215.0|0|0.0|100
0|2022-01-02|26067.0|0|26067.0|0|215.0|0|0.0|100
0|2022-01-03|26946.0|0|26946.0|0|215.0|0|0.0|100
0|2022-01-04|27227.0|0|27227.0|0|215.0|0|0.0|100
0|2022-01-05|27945.0|0|27945.0|0|215.0|0|0.0|100
0|2022-01-06|28114.0|0|28114.0|0|215.0|0|0.0|100
0|2022-01-07|29044.0|0|29044.0|0|221.0|0|0.0|100
0|2022-01-08|29044.0|0|29044.0|0|221.0|0|0.0|100
0|2022-01-09|29044.0|0|29044.0|0|221.0|0|0.0|100
0|2022-01-10|30369.0|0|30369.0|0|221.0|0|0.0|100
0|2022-01-11|31289.0|0|31289.0|0|222.0|0|0.0|100
0|2022-01-12|32026.0|0|32026.0|0|224.0|0|0.0|100
0|2022-01-13|32026.0|0|32697.0|0|224.0|0|0.0|100
0|2022-01-14|33440.0|0|33440.0|0|225.0|0|0.0|100
0|2022-01-15|33440.0|0|33440.0|0|225.0|0|0.0|100
0|2022-01-16|33440.0|0|33440.0|0|225.0|0|0.0|100
0|2022-01-17|33440.0|0|0.0|100|225.0|0|0.0|100
