|dates|Borden_Texas_UnitedStates.JHU_ConfirmedCases.data|Borden_Texas_UnitedStates.JHU_ConfirmedCases.missing|Borden_Texas_UnitedStates.NYT_ConfirmedCases.data|Borden_Texas_UnitedStates.NYT_ConfirmedCases.missing|Borden_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Borden_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Borden_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Borden_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-18|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-19|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-20|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-21|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-22|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-23|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-24|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-25|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-26|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-27|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-28|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-29|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-30|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-10-31|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-11-01|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-11-02|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-11-03|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-11-04|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-11-05|42.0|0|42.0|0|2.0|0|0.0|100
0|2021-11-06|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-07|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-08|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-09|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-10|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-11|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-12|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-13|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-14|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-15|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-16|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-17|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-18|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-19|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-20|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-21|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-22|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-23|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-24|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-25|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-26|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-27|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-28|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-29|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-11-30|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-01|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-02|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-03|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-04|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-05|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-06|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-07|43.0|0|43.0|0|2.0|0|0.0|100
0|2021-12-08|43.0|0|43.0|0|2.0|0|0.0|100
