|dates|Kimball_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kimball_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kimball_Nebraska_UnitedStates.Male_Total_Population.data|Kimball_Nebraska_UnitedStates.Male_Total_Population.missing|Kimball_Nebraska_UnitedStates.Female_Total_Population.data|Kimball_Nebraska_UnitedStates.Female_Total_Population.missing|Kimball_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Kimball_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-18|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-19|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-20|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-21|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-22|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-23|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-24|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-25|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-26|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-27|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-28|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-29|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-30|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-10-31|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-01|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-02|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-03|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-04|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-05|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-06|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-07|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-08|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-09|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-10|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-11|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-12|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-13|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-14|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-15|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-16|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-17|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-18|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-19|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-20|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-21|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-22|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-23|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-24|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-25|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-26|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-27|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-28|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-29|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-11-30|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-01|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-02|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-03|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-04|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-05|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-06|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-07|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-08|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-09|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-10|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-11|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-12|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-13|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-14|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-15|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-16|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-17|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-18|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-19|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-20|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-21|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-22|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-23|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-24|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-25|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-26|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-27|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-28|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-29|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-30|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2021-12-31|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-01|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-02|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-03|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-04|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-05|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-06|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-07|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-08|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-09|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-10|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-11|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-12|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-13|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-14|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-15|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-16|883.0|0|1816.0|0|1802.0|0|781.0|0
0|2022-01-17|883.0|0|1816.0|0|1802.0|0|781.0|0
