|dates|Burnet_Texas_UnitedStates.AveragePrecipitationTotal.data|Burnet_Texas_UnitedStates.AveragePrecipitationTotal.missing|Burnet_Texas_UnitedStates.AveragePrecipitation.data|Burnet_Texas_UnitedStates.AveragePrecipitation.missing|Burnet_Texas_UnitedStates.AverageWindDirection.data|Burnet_Texas_UnitedStates.AverageWindDirection.missing|Burnet_Texas_UnitedStates.AverageWindSpeed.data|Burnet_Texas_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|42.083333333333336|0|2.9166666666666665|0
0|2021-10-18|0.0|0|0.0|0|95.41666666666667|0|4.416666666666667|0
0|2021-10-19|0.0|0|0.0|0|157.08333333333334|0|6.791666666666667|0
0|2021-10-20|0.0|0|0.0|0|116.5|0|4.3|0
0|2021-10-21|0.0|0|0.0|0|31.25|0|2.125|0
0|2021-10-22|0.0|0|0.0|0|75.83333333333333|0|4.041666666666667|0
0|2021-10-23|0.0|0|0.0|0|165.5902777777778|0|7.576388888888888|0
0|2021-10-24|0.0|0|0.0|0|173.19444444444446|0|7.340277777777778|0
0|2021-10-25|0.0|0|0.0|0|87.5|0|3.5625|0
0|2021-10-26|0.0|0|0.0|0|166.11111111111111|0|10.395833333333334|0
0|2021-10-27|0.00972222222222222|0|0.021024305555555556|0|267.43055555555554|0|12.71875|0
0|2021-10-28|0.0|0|0.0|0|309.5833333333333|0|13.833333333333334|0
0|2021-10-29|0.0|0|0.0|0|322.5|0|11.875|0
0|2021-10-30|0.0|0|0.0|0|350.0|0|5.0|0
0|2021-10-31|0.0|0|0.0|0|350.0|0|5.0|0
0|2021-11-01|0.0|0|0.0|0|252.08333333333334|0|5.666666666666667|0
0|2021-11-02|0.0|0|0.0|0|84.16666666666667|0|5.131944444444445|0
0|2021-11-03|0.004027777777777778|0|0.08340277777777776|0|164.55555555555557|0|9.53125|0
0|2021-11-04|0.0|0|0.06770833333333331|0|289.1666666666667|0|7.479166666666667|0
0|2021-11-05|0.0|0|0.0|0|50.833333333333336|0|2.9583333333333335|0
