|dates|Muhlenberg_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Muhlenberg_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Muhlenberg_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Muhlenberg_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Muhlenberg_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Muhlenberg_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Muhlenberg_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Muhlenberg_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5487.0|0|5487.0|0|87.0|0|0.0|100
0|2021-10-18|5537.0|0|5537.0|0|87.0|0|0.0|100
0|2021-10-19|5551.0|0|5551.0|0|87.0|0|0.0|100
0|2021-10-20|5568.0|0|5568.0|0|88.0|0|0.0|100
0|2021-10-21|5585.0|0|5585.0|0|88.0|0|0.0|100
0|2021-10-22|5608.0|0|5608.0|0|89.0|0|0.0|100
0|2021-10-23|5608.0|0|5608.0|0|89.0|0|0.0|100
0|2021-10-24|5608.0|0|5608.0|0|89.0|0|0.0|100
0|2021-10-25|5631.0|0|5631.0|0|90.0|0|0.0|100
0|2021-10-26|5645.0|0|5645.0|0|90.0|0|0.0|100
0|2021-10-27|5654.0|0|5654.0|0|91.0|0|0.0|100
0|2021-10-28|5662.0|0|5662.0|0|92.0|0|0.0|100
0|2021-10-29|5678.0|0|5678.0|0|92.0|0|0.0|100
0|2021-10-30|5678.0|0|5678.0|0|92.0|0|0.0|100
0|2021-10-31|5678.0|0|5678.0|0|92.0|0|0.0|100
0|2021-11-01|5697.0|0|5697.0|0|92.0|0|0.0|100
0|2021-11-02|5707.0|0|5707.0|0|92.0|0|0.0|100
0|2021-11-03|5716.0|0|5716.0|0|92.0|0|0.0|100
0|2021-11-04|5724.0|0|5724.0|0|92.0|0|0.0|100
0|2021-11-05|5728.0|0|5728.0|0|93.0|0|0.0|100
0|2021-11-06|5728.0|0|5728.0|0|93.0|0|0.0|100
0|2021-11-07|5728.0|0|5728.0|0|93.0|0|0.0|100
