|dates|SaltLake_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SaltLake_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SaltLake_Utah_UnitedStates.Male_Total_Population.data|SaltLake_Utah_UnitedStates.Male_Total_Population.missing|SaltLake_Utah_UnitedStates.Female_Total_Population.data|SaltLake_Utah_UnitedStates.Female_Total_Population.missing|SaltLake_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|SaltLake_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-18|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-19|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-20|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-21|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-22|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-23|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-24|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-25|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-26|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-27|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-28|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-29|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-30|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-10-31|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-01|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-02|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-03|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-04|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-05|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-06|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-07|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-08|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-09|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-10|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-11|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-12|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-13|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-14|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-15|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-16|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-17|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-18|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-19|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-20|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-21|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-22|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-23|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-24|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-25|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-26|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-27|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-28|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-29|125157.0|0|578614.0|0|574019.0|0|312889.0|0
0|2021-11-30|125157.0|0|578614.0|0|574019.0|0|312889.0|0
