|dates|Person_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Person_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Person_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Person_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Person_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Person_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Person_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Person_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5036.0|0|5036.0|0|87.0|0|0.0|100
0|2021-10-18|5055.0|0|5055.0|0|87.0|0|0.0|100
0|2021-10-19|5053.0|0|5053.0|0|87.0|0|0.0|100
0|2021-10-20|5056.0|0|5056.0|0|87.0|0|0.0|100
0|2021-10-21|5064.0|0|5064.0|0|87.0|0|0.0|100
0|2021-10-22|5069.0|0|5069.0|0|87.0|0|0.0|100
0|2021-10-23|5069.0|0|5069.0|0|87.0|0|0.0|100
0|2021-10-24|5069.0|0|5069.0|0|87.0|0|0.0|100
0|2021-10-25|5083.0|0|5083.0|0|87.0|0|0.0|100
0|2021-10-26|5087.0|0|5087.0|0|87.0|0|0.0|100
0|2021-10-27|5092.0|0|5092.0|0|87.0|0|0.0|100
0|2021-10-28|5097.0|0|5097.0|0|87.0|0|0.0|100
0|2021-10-29|5105.0|0|5105.0|0|87.0|0|0.0|100
0|2021-10-30|5105.0|0|5105.0|0|87.0|0|0.0|100
0|2021-10-31|5105.0|0|5105.0|0|87.0|0|0.0|100
0|2021-11-01|5122.0|0|5122.0|0|87.0|0|0.0|100
0|2021-11-02|5123.0|0|5123.0|0|87.0|0|0.0|100
0|2021-11-03|5133.0|0|5133.0|0|87.0|0|0.0|100
0|2021-11-04|5136.0|0|5136.0|0|87.0|0|0.0|100
0|2021-11-05|5141.0|0|5141.0|0|87.0|0|0.0|100
0|2021-11-06|5141.0|0|5141.0|0|87.0|0|0.0|100
