|dates|BonHomme_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|BonHomme_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|BonHomme_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|BonHomme_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|BonHomme_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|BonHomme_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|BonHomme_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|BonHomme_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1616.0|0|1616.0|0|29.0|0|0.0|100
0|2021-10-18|1616.0|0|1618.0|0|29.0|0|0.0|100
0|2021-10-19|1616.0|0|1623.0|0|29.0|0|0.0|100
0|2021-10-20|1630.0|0|1630.0|0|29.0|0|0.0|100
0|2021-10-21|1630.0|0|1630.0|0|29.0|0|0.0|100
0|2021-10-22|1630.0|0|1630.0|0|29.0|0|0.0|100
0|2021-10-23|1630.0|0|1630.0|0|29.0|0|0.0|100
0|2021-10-24|1630.0|0|1630.0|0|29.0|0|0.0|100
0|2021-10-25|1631.0|0|1631.0|0|29.0|0|0.0|100
0|2021-10-26|1634.0|0|1634.0|0|29.0|0|0.0|100
0|2021-10-27|1634.0|0|1634.0|0|29.0|0|0.0|100
0|2021-10-28|1636.0|0|1636.0|0|29.0|0|0.0|100
0|2021-10-29|1637.0|0|1637.0|0|29.0|0|0.0|100
0|2021-10-30|1637.0|0|1637.0|0|29.0|0|0.0|100
0|2021-10-31|1637.0|0|1637.0|0|29.0|0|0.0|100
0|2021-11-01|1640.0|0|1640.0|0|29.0|0|0.0|100
0|2021-11-02|1644.0|0|1644.0|0|29.0|0|0.0|100
0|2021-11-03|1646.0|0|1646.0|0|29.0|0|0.0|100
0|2021-11-04|1648.0|0|1648.0|0|29.0|0|0.0|100
0|2021-11-05|1649.0|0|1649.0|0|29.0|0|0.0|100
0|2021-11-06|1649.0|0|1649.0|0|29.0|0|0.0|100
0|2021-11-07|1649.0|0|1649.0|0|29.0|0|0.0|100
0|2021-11-08|1652.0|0|1652.0|0|29.0|0|0.0|100
0|2021-11-09|1659.0|0|1659.0|0|29.0|0|0.0|100
0|2021-11-10|1666.0|0|1666.0|0|29.0|0|0.0|100
0|2021-11-11|1666.0|0|1666.0|0|29.0|0|0.0|100
0|2021-11-12|1672.0|0|1672.0|0|29.0|0|0.0|100
0|2021-11-13|1672.0|0|1672.0|0|29.0|0|0.0|100
0|2021-11-14|1672.0|0|1672.0|0|29.0|0|0.0|100
0|2021-11-15|1679.0|0|1679.0|0|30.0|0|0.0|100
