|dates|Logan_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_Kansas_UnitedStates.Male_Total_Population.data|Logan_Kansas_UnitedStates.Male_Total_Population.missing|Logan_Kansas_UnitedStates.Female_Total_Population.data|Logan_Kansas_UnitedStates.Female_Total_Population.missing|Logan_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-18|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-19|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-20|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-21|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-22|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-23|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-24|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-25|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-26|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-27|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-28|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-29|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-30|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-10-31|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-01|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-02|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-03|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-04|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-05|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-06|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-07|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-08|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-09|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-10|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-11|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-12|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-13|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-14|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-15|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-16|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-17|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-18|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-19|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-20|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-21|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-22|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-23|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-24|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-25|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-26|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-27|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-28|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-29|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-11-30|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-01|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-02|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-03|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-04|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-05|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-06|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-07|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-08|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-09|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-10|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-11|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-12|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-13|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-14|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-15|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-16|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-17|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-18|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-19|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-20|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-21|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-22|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-23|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-24|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-25|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-26|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-27|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-28|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-29|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-30|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2021-12-31|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-01|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-02|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-03|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-04|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-05|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-06|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-07|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-08|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-09|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-10|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-11|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-12|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-13|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-14|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-15|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-16|592.0|0|1414.0|0|1430.0|0|685.0|0
0|2022-01-17|592.0|0|1414.0|0|1430.0|0|685.0|0
