|dates|LeSueur_Minnesota_UnitedStates.JHU_ConfirmedCases.data|LeSueur_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|LeSueur_Minnesota_UnitedStates.NYT_ConfirmedCases.data|LeSueur_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|LeSueur_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|LeSueur_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|LeSueur_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|LeSueur_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3783.0|0|3783.0|0|31.0|0|0.0|100
0|2021-10-18|3804.0|0|3804.0|0|31.0|0|0.0|100
0|2021-10-19|3818.0|0|3818.0|0|31.0|0|0.0|100
0|2021-10-20|3829.0|0|3829.0|0|32.0|0|0.0|100
0|2021-10-21|3853.0|0|3853.0|0|32.0|0|0.0|100
0|2021-10-22|3863.0|0|3863.0|0|32.0|0|0.0|100
0|2021-10-23|3863.0|0|3863.0|0|32.0|0|0.0|100
0|2021-10-24|3863.0|0|3863.0|0|32.0|0|0.0|100
0|2021-10-25|3873.0|0|3873.0|0|32.0|0|0.0|100
0|2021-10-26|3901.0|0|3901.0|0|32.0|0|0.0|100
0|2021-10-27|3904.0|0|3904.0|0|32.0|0|0.0|100
0|2021-10-28|3928.0|0|3928.0|0|32.0|0|0.0|100
0|2021-10-29|3944.0|0|3944.0|0|32.0|0|0.0|100
0|2021-10-30|3944.0|0|3944.0|0|32.0|0|0.0|100
0|2021-10-31|3944.0|0|3944.0|0|32.0|0|0.0|100
0|2021-11-01|3992.0|0|3992.0|0|32.0|0|0.0|100
0|2021-11-02|4016.0|0|4016.0|0|32.0|0|0.0|100
0|2021-11-03|4026.0|0|4026.0|0|33.0|0|0.0|100
0|2021-11-04|4045.0|0|4045.0|0|33.0|0|0.0|100
0|2021-11-05|4057.0|0|4057.0|0|33.0|0|0.0|100
0|2021-11-06|4057.0|0|4057.0|0|33.0|0|0.0|100
0|2021-11-07|4057.0|0|4057.0|0|33.0|0|0.0|100
0|2021-11-08|4081.0|0|4081.0|0|33.0|0|0.0|100
0|2021-11-09|4119.0|0|4119.0|0|33.0|0|0.0|100
0|2021-11-10|4143.0|0|4143.0|0|33.0|0|0.0|100
0|2021-11-11|4181.0|0|4181.0|0|33.0|0|0.0|100
0|2021-11-12|4204.0|0|4204.0|0|33.0|0|0.0|100
0|2021-11-13|4204.0|0|4204.0|0|33.0|0|0.0|100
0|2021-11-14|4204.0|0|4204.0|0|33.0|0|0.0|100
