|dates|HotSprings_Wyoming_UnitedStates.AveragePrecipitationTotal.data|HotSprings_Wyoming_UnitedStates.AveragePrecipitationTotal.missing|HotSprings_Wyoming_UnitedStates.AveragePrecipitation.data|HotSprings_Wyoming_UnitedStates.AveragePrecipitation.missing|HotSprings_Wyoming_UnitedStates.AverageWindDirection.data|HotSprings_Wyoming_UnitedStates.AverageWindDirection.missing|HotSprings_Wyoming_UnitedStates.AverageWindSpeed.data|HotSprings_Wyoming_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|155.41666666666666|0|4.125|0
0|2021-10-18|0.0|0|0.00125|0|146.94444444444443|0|5.902777777777778|0
0|2021-10-19|0.010625|0|0.02812500000000001|0|180.4722222222222|0|8.25902777777778|0
0|2021-10-20|0.00375|0|0.0|0|98.27083333333333|0|3.3937500000000003|0
0|2021-10-21|0.0|0|0.0|0|151.25|0|4.875|0
0|2021-10-22|0.0|0|0.0|0|183.33333333333334|0|5.5555555555555545|0
0|2021-10-23|0.0|0|0.0|0|199.16666666666666|0|7.291666666666667|0
0|2021-10-24|0.0|0|0.0|0|180.41666666666666|0|8.0|0
0|2021-10-25|0.0|0|0.0|0|162.08333333333334|0|11.541666666666666|0
0|2021-10-26|0.0004166666666666667|0|0.01375|0|213.61111111111111|0|12.361111111111109|0
0|2021-10-27|0.01625|0|0.0|0|237.91666666666666|0|12.291666666666666|0
0|2021-10-28|0.0|0|0.0|0|125.83333333333333|0|6.666666666666667|0
0|2021-10-29|0.0|0|0.0|0|202.08333333333334|0|7.791666666666667|0
0|2021-10-30|0.0|0|0.0|0|106.875|0|11.6875|0
0|2021-10-31|0.0|0|0.0|0|60.06944444444445|0|9.736111111111112|0
0|2021-11-01|0.0|0|0.0|0|67.77777777777777|0|4.340277777777778|0
0|2021-11-02|0.0|0|0.0|0|60.0|0|1.7083333333333333|0
0|2021-11-03|0.0|0|0.0|0|206.66666666666666|0|5.708333333333333|0
0|2021-11-04|0.0|0|0.0|0|123.33333333333333|0|3.6666666666666665|0
0|2021-11-05|0.0|0|0.0|0|221.66666666666666|0|9.666666666666666|0
0|2021-11-06|0.0|0|0.0|0|137.91666666666666|0|4.625|0
0|2021-11-07|0.0|0|0.0|0|251.45833333333334|0|10.291666666666666|0
0|2021-11-08|0.0|0|0.0|0|192.08333333333334|0|6.166666666666667|0
0|2021-11-09|0.0|0|0.0|0|197.91666666666666|0|7.291666666666667|0
0|2021-11-10|0.0|0|0.0|0|296.25|0|18.5|0
0|2021-11-11|0.0|0|0.0|0|136.66666666666666|0|6.25|0
0|2021-11-12|0.0|0|0.0|0|128.33333333333334|0|5.583333333333333|0
0|2021-11-13|0.0|0|0.0|0|260.2083333333333|0|18.416666666666668|0
0|2021-11-14|0.0|0|0.0|0|230.20833333333334|0|10.333333333333334|0
0|2021-11-15|0.0|0|0.0|0|227.08333333333334|0|10.875|0
0|2021-11-16|0.0|0|0.0|0|239.16666666666666|0|20.208333333333332|0
