|dates|Desha_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Desha_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Desha_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Desha_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Desha_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Desha_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Desha_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Desha_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1888.0|0|1888.0|0|32.0|0|0.0|100
0|2021-10-18|1890.0|0|1890.0|0|32.0|0|0.0|100
0|2021-10-19|1892.0|0|1892.0|0|32.0|0|0.0|100
0|2021-10-20|1892.0|0|1892.0|0|32.0|0|0.0|100
0|2021-10-21|1893.0|0|1893.0|0|32.0|0|0.0|100
0|2021-10-22|1895.0|0|1895.0|0|32.0|0|0.0|100
0|2021-10-23|1896.0|0|1896.0|0|32.0|0|0.0|100
0|2021-10-24|1896.0|0|1896.0|0|32.0|0|0.0|100
0|2021-10-25|1899.0|0|1899.0|0|32.0|0|0.0|100
0|2021-10-26|1899.0|0|1899.0|0|32.0|0|0.0|100
0|2021-10-27|1902.0|0|1902.0|0|32.0|0|0.0|100
0|2021-10-28|1903.0|0|1903.0|0|33.0|0|0.0|100
0|2021-10-29|1904.0|0|1904.0|0|33.0|0|0.0|100
0|2021-10-30|1906.0|0|1906.0|0|33.0|0|0.0|100
0|2021-10-31|1906.0|0|1906.0|0|33.0|0|0.0|100
0|2021-11-01|1906.0|0|1906.0|0|33.0|0|0.0|100
0|2021-11-02|1907.0|0|1907.0|0|33.0|0|0.0|100
0|2021-11-03|1907.0|0|1907.0|0|33.0|0|0.0|100
0|2021-11-04|1908.0|0|1908.0|0|33.0|0|0.0|100
0|2021-11-05|1913.0|0|1913.0|0|33.0|0|0.0|100
0|2021-11-06|1916.0|0|1916.0|0|33.0|0|0.0|100
0|2021-11-07|1917.0|0|1917.0|0|33.0|0|0.0|100
0|2021-11-08|1917.0|0|1917.0|0|33.0|0|0.0|100
0|2021-11-09|1917.0|0|1917.0|0|33.0|0|0.0|100
0|2021-11-10|1917.0|0|1919.0|0|33.0|0|0.0|100
0|2021-11-11|1919.0|0|1919.0|0|33.0|0|0.0|100
0|2021-11-12|1922.0|0|1922.0|0|33.0|0|0.0|100
0|2021-11-13|1923.0|0|1923.0|0|33.0|0|0.0|100
0|2021-11-14|1923.0|0|1923.0|0|33.0|0|0.0|100
0|2021-11-15|1923.0|0|1923.0|0|33.0|0|0.0|100
0|2021-11-16|1925.0|0|1925.0|0|33.0|0|0.0|100
0|2021-11-17|1927.0|0|1927.0|0|33.0|0|0.0|100
0|2021-11-18|1926.0|0|1926.0|0|33.0|0|0.0|100
0|2021-11-19|1928.0|0|1928.0|0|33.0|0|0.0|100
0|2021-11-20|1933.0|0|1933.0|0|33.0|0|0.0|100
0|2021-11-21|1934.0|0|1934.0|0|33.0|0|0.0|100
0|2021-11-22|1934.0|0|1934.0|0|33.0|0|0.0|100
0|2021-11-23|1936.0|0|1936.0|0|33.0|0|0.0|100
0|2021-11-24|1937.0|0|1937.0|0|33.0|0|0.0|100
0|2021-11-25|1937.0|0|1937.0|0|33.0|0|0.0|100
0|2021-11-26|1941.0|0|1941.0|0|33.0|0|0.0|100
0|2021-11-27|1940.0|0|1940.0|0|33.0|0|0.0|100
0|2021-11-28|1941.0|0|1941.0|0|33.0|0|0.0|100
0|2021-11-29|1941.0|0|1941.0|0|33.0|0|0.0|100
0|2021-11-30|1941.0|0|1947.0|0|33.0|0|0.0|100
0|2021-12-01|1948.0|0|1948.0|0|33.0|0|0.0|100
0|2021-12-02|1956.0|0|1956.0|0|33.0|0|0.0|100
0|2021-12-03|1963.0|0|1963.0|0|33.0|0|0.0|100
0|2021-12-04|1965.0|0|1965.0|0|33.0|0|0.0|100
0|2021-12-05|1965.0|0|1965.0|0|33.0|0|0.0|100
0|2021-12-06|1965.0|0|1965.0|0|33.0|0|0.0|100
0|2021-12-07|1965.0|0|1965.0|0|33.0|0|0.0|100
0|2021-12-08|1966.0|0|1966.0|0|33.0|0|0.0|100
0|2021-12-09|1967.0|0|1967.0|0|33.0|0|0.0|100
0|2021-12-10|1971.0|0|1971.0|0|33.0|0|0.0|100
0|2021-12-11|1974.0|0|1974.0|0|33.0|0|0.0|100
0|2021-12-12|1974.0|0|1974.0|0|33.0|0|0.0|100
0|2021-12-13|1975.0|0|1975.0|0|33.0|0|0.0|100
0|2021-12-14|1975.0|0|1978.0|0|33.0|0|0.0|100
0|2021-12-15|1978.0|0|1978.0|0|35.0|0|0.0|100
0|2021-12-16|1979.0|0|1979.0|0|35.0|0|0.0|100
0|2021-12-17|1981.0|0|1981.0|0|35.0|0|0.0|100
0|2021-12-18|1984.0|0|1984.0|0|35.0|0|0.0|100
0|2021-12-19|1985.0|0|1985.0|0|35.0|0|0.0|100
0|2021-12-20|1986.0|0|1986.0|0|35.0|0|0.0|100
0|2021-12-21|1986.0|0|1986.0|0|35.0|0|0.0|100
0|2021-12-22|1987.0|0|1987.0|0|35.0|0|0.0|100
0|2021-12-23|1990.0|0|1990.0|0|35.0|0|0.0|100
0|2021-12-24|1991.0|0|1991.0|0|35.0|0|0.0|100
0|2021-12-25|1990.0|0|1990.0|0|35.0|0|0.0|100
0|2021-12-26|1990.0|0|1990.0|0|35.0|0|0.0|100
0|2021-12-27|1991.0|0|1991.0|0|35.0|0|0.0|100
0|2021-12-28|1994.0|0|1994.0|0|35.0|0|0.0|100
0|2021-12-29|2012.0|0|2012.0|0|35.0|0|0.0|100
0|2021-12-30|2024.0|0|2024.0|0|35.0|0|0.0|100
0|2021-12-31|2039.0|0|2039.0|0|35.0|0|0.0|100
0|2022-01-01|2041.0|0|2041.0|0|36.0|0|0.0|100
0|2022-01-02|2043.0|0|2043.0|0|36.0|0|0.0|100
0|2022-01-03|2048.0|0|2048.0|0|36.0|0|0.0|100
0|2022-01-04|2088.0|0|2088.0|0|36.0|0|0.0|100
0|2022-01-05|2109.0|0|2109.0|0|36.0|0|0.0|100
0|2022-01-06|2140.0|0|2140.0|0|36.0|0|0.0|100
0|2022-01-07|2166.0|0|2166.0|0|36.0|0|0.0|100
0|2022-01-08|2191.0|0|2191.0|0|36.0|0|0.0|100
0|2022-01-09|2191.0|0|2191.0|0|36.0|0|0.0|100
0|2022-01-10|2211.0|0|2211.0|0|36.0|0|0.0|100
0|2022-01-11|2280.0|0|2280.0|0|35.0|0|0.0|100
0|2022-01-12|2363.0|0|2363.0|0|35.0|0|0.0|100
0|2022-01-13|2363.0|0|2428.0|0|35.0|0|0.0|100
0|2022-01-14|2451.0|0|2451.0|0|35.0|0|0.0|100
0|2022-01-15|2536.0|0|2536.0|0|35.0|0|0.0|100
0|2022-01-16|2539.0|0|2539.0|0|35.0|0|0.0|100
0|2022-01-17|2545.0|0|0.0|100|35.0|0|0.0|100
