|dates|Kingsbury_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Kingsbury_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Kingsbury_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Kingsbury_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Kingsbury_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Kingsbury_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Kingsbury_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Kingsbury_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|907.0|0|907.0|0|18.0|0|0.0|100
0|2021-10-18|907.0|0|907.0|0|18.0|0|0.0|100
0|2021-10-19|907.0|0|911.0|0|18.0|0|0.0|100
0|2021-10-20|913.0|0|913.0|0|18.0|0|0.0|100
0|2021-10-21|914.0|0|914.0|0|18.0|0|0.0|100
0|2021-10-22|916.0|0|916.0|0|18.0|0|0.0|100
0|2021-10-23|916.0|0|916.0|0|18.0|0|0.0|100
0|2021-10-24|916.0|0|916.0|0|18.0|0|0.0|100
0|2021-10-25|918.0|0|918.0|0|18.0|0|0.0|100
0|2021-10-26|918.0|0|918.0|0|18.0|0|0.0|100
0|2021-10-27|918.0|0|918.0|0|18.0|0|0.0|100
0|2021-10-28|919.0|0|919.0|0|18.0|0|0.0|100
0|2021-10-29|919.0|0|919.0|0|18.0|0|0.0|100
0|2021-10-30|919.0|0|919.0|0|18.0|0|0.0|100
0|2021-10-31|919.0|0|919.0|0|18.0|0|0.0|100
0|2021-11-01|921.0|0|921.0|0|18.0|0|0.0|100
0|2021-11-02|925.0|0|925.0|0|18.0|0|0.0|100
0|2021-11-03|928.0|0|928.0|0|18.0|0|0.0|100
0|2021-11-04|929.0|0|929.0|0|18.0|0|0.0|100
0|2021-11-05|931.0|0|931.0|0|18.0|0|0.0|100
0|2021-11-06|931.0|0|931.0|0|18.0|0|0.0|100
0|2021-11-07|931.0|0|931.0|0|18.0|0|0.0|100
0|2021-11-08|932.0|0|932.0|0|18.0|0|0.0|100
0|2021-11-09|933.0|0|933.0|0|18.0|0|0.0|100
0|2021-11-10|933.0|0|935.0|0|18.0|0|0.0|100
0|2021-11-11|935.0|0|935.0|0|18.0|0|0.0|100
0|2021-11-12|936.0|0|936.0|0|18.0|0|0.0|100
0|2021-11-13|936.0|0|936.0|0|18.0|0|0.0|100
0|2021-11-14|936.0|0|936.0|0|18.0|0|0.0|100
0|2021-11-15|936.0|0|936.0|0|18.0|0|0.0|100
0|2021-11-16|939.0|0|939.0|0|18.0|0|0.0|100
0|2021-11-17|940.0|0|940.0|0|18.0|0|0.0|100
