|dates|Riverside_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Riverside_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Riverside_California_UnitedStates.Male_Total_Population.data|Riverside_California_UnitedStates.Male_Total_Population.missing|Riverside_California_UnitedStates.Female_Total_Population.data|Riverside_California_UnitedStates.Female_Total_Population.missing|Riverside_California_UnitedStates.MaleAndFemale_Under18_Population.data|Riverside_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-18|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-19|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-20|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-21|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-22|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-23|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-24|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-25|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-26|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-27|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-28|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-29|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-30|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-10-31|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-01|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-02|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-03|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-04|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-05|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-06|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-07|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-08|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-09|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-10|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-11|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-12|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-13|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-14|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-15|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-16|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-17|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-18|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-19|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-20|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-21|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-22|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-23|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-24|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-25|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-26|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-27|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
0|2021-11-28|353122.0|0|1221375.0|0|1229383.0|0|616126.0|0
