|dates|Eagle_Colorado_UnitedStates.JHU_ConfirmedCases.data|Eagle_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Eagle_Colorado_UnitedStates.NYT_ConfirmedCases.data|Eagle_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Eagle_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Eagle_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Eagle_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Eagle_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8140.0|0|8140.0|0|31.0|0|0.0|100
0|2021-10-18|8184.0|0|8184.0|0|31.0|0|0.0|100
0|2021-10-19|8204.0|0|8204.0|0|31.0|0|0.0|100
0|2021-10-20|8229.0|0|8229.0|0|31.0|0|0.0|100
0|2021-10-21|8246.0|0|8246.0|0|31.0|0|0.0|100
0|2021-10-22|8268.0|0|8268.0|0|31.0|0|0.0|100
0|2021-10-23|8268.0|0|8268.0|0|31.0|0|0.0|100
0|2021-10-24|8268.0|0|8268.0|0|31.0|0|0.0|100
0|2021-10-25|8316.0|0|8316.0|0|31.0|0|0.0|100
0|2021-10-26|8356.0|0|8356.0|0|31.0|0|0.0|100
0|2021-10-27|8375.0|0|8375.0|0|32.0|0|0.0|100
0|2021-10-28|8409.0|0|8409.0|0|31.0|0|0.0|100
0|2021-10-29|8433.0|0|8433.0|0|31.0|0|0.0|100
0|2021-10-30|8433.0|0|8433.0|0|31.0|0|0.0|100
0|2021-10-31|8433.0|0|8433.0|0|31.0|0|0.0|100
0|2021-11-01|8467.0|0|8467.0|0|31.0|0|0.0|100
0|2021-11-02|8500.0|0|8500.0|0|31.0|0|0.0|100
0|2021-11-03|8535.0|0|8535.0|0|31.0|0|0.0|100
0|2021-11-04|8590.0|0|8590.0|0|31.0|0|0.0|100
0|2021-11-05|8614.0|0|8614.0|0|31.0|0|0.0|100
0|2021-11-06|8614.0|0|8614.0|0|31.0|0|0.0|100
0|2021-11-07|8614.0|0|8614.0|0|31.0|0|0.0|100
0|2021-11-08|8692.0|0|8692.0|0|32.0|0|0.0|100
0|2021-11-09|8765.0|0|8765.0|0|32.0|0|0.0|100
0|2021-11-10|8765.0|0|8808.0|0|32.0|0|0.0|100
0|2021-11-11|8840.0|0|8840.0|0|32.0|0|0.0|100
0|2021-11-12|8863.0|0|8863.0|0|32.0|0|0.0|100
0|2021-11-13|8863.0|0|8863.0|0|32.0|0|0.0|100
0|2021-11-14|8863.0|0|8863.0|0|32.0|0|0.0|100
0|2021-11-15|8903.0|0|8903.0|0|32.0|0|0.0|100
0|2021-11-16|8955.0|0|8955.0|0|32.0|0|0.0|100
0|2021-11-17|8993.0|0|8993.0|0|32.0|0|0.0|100
0|2021-11-18|9019.0|0|9019.0|0|32.0|0|0.0|100
0|2021-11-19|9045.0|0|9045.0|0|32.0|0|0.0|100
0|2021-11-20|9045.0|0|9045.0|0|32.0|0|0.0|100
0|2021-11-21|9045.0|0|9045.0|0|32.0|0|0.0|100
0|2021-11-22|9114.0|0|9114.0|0|32.0|0|0.0|100
0|2021-11-23|9143.0|0|9143.0|0|32.0|0|0.0|100
0|2021-11-24|9174.0|0|9174.0|0|32.0|0|0.0|100
0|2021-11-25|9189.0|0|9189.0|0|32.0|0|0.0|100
0|2021-11-26|9197.0|0|9189.0|0|32.0|0|0.0|100
0|2021-11-27|9197.0|0|9189.0|0|32.0|0|0.0|100
0|2021-11-28|9197.0|0|9197.0|0|32.0|0|0.0|100
0|2021-11-29|9238.0|0|9238.0|0|32.0|0|0.0|100
0|2021-11-30|9238.0|0|9262.0|0|32.0|0|0.0|100
0|2021-12-01|9292.0|0|9292.0|0|32.0|0|0.0|100
0|2021-12-02|9304.0|0|9304.0|0|32.0|0|0.0|100
0|2021-12-03|9322.0|0|9313.0|0|32.0|0|0.0|100
0|2021-12-04|9322.0|0|9322.0|0|32.0|0|0.0|100
0|2021-12-05|9322.0|0|9322.0|0|32.0|0|0.0|100
0|2021-12-06|9354.0|0|9354.0|0|32.0|0|0.0|100
0|2021-12-07|9351.0|0|9351.0|0|32.0|0|0.0|100
0|2021-12-08|9367.0|0|9367.0|0|32.0|0|0.0|100
0|2021-12-09|9387.0|0|9387.0|0|32.0|0|0.0|100
0|2021-12-10|9402.0|0|9402.0|0|32.0|0|0.0|100
0|2021-12-11|9402.0|0|9402.0|0|32.0|0|0.0|100
0|2021-12-12|9402.0|0|9402.0|0|32.0|0|0.0|100
0|2021-12-13|9429.0|0|9429.0|0|32.0|0|0.0|100
0|2021-12-14|9429.0|0|9457.0|0|32.0|0|0.0|100
0|2021-12-15|9486.0|0|9486.0|0|32.0|0|0.0|100
0|2021-12-16|9530.0|0|9530.0|0|32.0|0|0.0|100
0|2021-12-17|9575.0|0|9575.0|0|32.0|0|0.0|100
0|2021-12-18|9575.0|0|9575.0|0|32.0|0|0.0|100
0|2021-12-19|9575.0|0|9575.0|0|32.0|0|0.0|100
0|2021-12-20|9714.0|0|9714.0|0|32.0|0|0.0|100
0|2021-12-21|9824.0|0|9824.0|0|32.0|0|0.0|100
0|2021-12-22|10034.0|0|10034.0|0|32.0|0|0.0|100
0|2021-12-23|10213.0|0|10213.0|0|32.0|0|0.0|100
0|2021-12-24|10385.0|0|10385.0|0|32.0|0|0.0|100
0|2021-12-25|10385.0|0|10385.0|0|32.0|0|0.0|100
0|2021-12-26|10385.0|0|10385.0|0|32.0|0|0.0|100
0|2021-12-27|10791.0|0|10791.0|0|32.0|0|0.0|100
0|2021-12-28|10899.0|0|10899.0|0|32.0|0|0.0|100
0|2021-12-29|11238.0|0|11238.0|0|32.0|0|0.0|100
0|2021-12-30|11515.0|0|11515.0|0|32.0|0|0.0|100
0|2021-12-31|11646.0|0|11646.0|0|32.0|0|0.0|100
0|2022-01-01|11646.0|0|11646.0|0|32.0|0|0.0|100
0|2022-01-02|11646.0|0|11646.0|0|32.0|0|0.0|100
0|2022-01-03|12250.0|0|12250.0|0|32.0|0|0.0|100
0|2022-01-04|12377.0|0|12377.0|0|32.0|0|0.0|100
0|2022-01-05|12462.0|0|12462.0|0|32.0|0|0.0|100
0|2022-01-06|12523.0|0|12523.0|0|32.0|0|0.0|100
0|2022-01-07|12713.0|0|12713.0|0|32.0|0|0.0|100
0|2022-01-08|12713.0|0|12713.0|0|32.0|0|0.0|100
0|2022-01-09|12713.0|0|12713.0|0|32.0|0|0.0|100
0|2022-01-10|13416.0|0|13416.0|0|32.0|0|0.0|100
0|2022-01-11|13558.0|0|13558.0|0|32.0|0|0.0|100
0|2022-01-12|13651.0|0|13651.0|0|32.0|0|0.0|100
0|2022-01-13|13651.0|0|13794.0|0|32.0|0|0.0|100
0|2022-01-14|13931.0|0|13863.0|0|33.0|0|0.0|100
0|2022-01-15|13931.0|0|13931.0|0|33.0|0|0.0|100
0|2022-01-16|13931.0|0|13931.0|0|33.0|0|0.0|100
0|2022-01-17|14156.0|0|0.0|100|33.0|0|0.0|100
